time,xr,yr,theta_r,xt,yt,d,e_theta,v,w
0.05,0.278773,0.524951,0.000188269,0.75,1,0.669124,0.789248,0.15,0.318248
0.1,0.278768,0.524949,0.000157537,0.75,1,0.669129,0.789276,0.15,0.318254
0.15,0.282477,0.524797,0.0203483,0.75,1,0.66663,0.773196,0.15,0.314309
0.2,0.309166,0.526332,0.0981648,0.75,1,0.647067,0.723122,0.15,0.306798
0.25,0.309166,0.526332,0.0981648,0.75,1,0.647067,0.723122,0.15,0.306798
0.3,0.331633,0.529096,0.140292,0.75,1,0.629906,0.704117,0.15,0.308313
0.35,0.353751,0.532678,0.178246,0.75,1,0.612701,0.689268,0.15,0.311395
0.4,0.375806,0.537124,0.216443,0.75,1,0.59521,0.674505,0.15,0.314768
0.45,0.375806,0.537124,0.216443,0.75,1,0.59521,0.674505,0.15,0.314768
0.5,0.397617,0.542382,0.255181,0.75,1,0.577571,0.659412,0.15,0.318222
0.55,0.419211,0.548485,0.294101,0.75,1,0.55972,0.64441,0.15,0.321979
0.6,0.440592,0.555448,0.333492,0.75,1,0.541627,0.629268,0.15,0.325992
0.65,0.440592,0.555448,0.333492,0.75,1,0.541627,0.629268,0.15,0.325992
0.7,0.461625,0.563227,0.373563,0.75,1,0.523384,0.613693,0.15,0.330096
0.75,0.482442,0.571882,0.41375,0.75,1,0.504849,0.598472,0.15,0.334782
0.8,0.502827,0.581346,0.454546,0.75,1,0.486174,0.58292,0.15,0.339671
0.85,0.522903,0.591663,0.496198,0.75,1,0.467239,0.567045,0.15,0.344883
0.9,0.522903,0.591663,0.496198,0.75,1,0.467239,0.567045,0.15,0.344883
0.95,0.542423,0.602792,0.538592,0.75,1,0.448177,0.550648,0.15,0.350245
1,0.561428,0.614731,0.581325,0.75,1,0.428943,0.534295,0.15,0.356155
1.05,0.579948,0.627498,0.624986,0.75,1,0.409482,0.517554,0.15,0.362474
1.1,0.579948,0.627498,0.624986,0.75,1,0.409482,0.517554,0.15,0.362474
1.15,0.597902,0.641063,0.669546,0.75,1,0.389832,0.500444,0.15,0.369247
1.2,0.615295,0.655485,0.71449,0.75,1,0.369914,0.483583,0.15,0.377078
1.25,0.631928,0.67062,0.760642,0.75,1,0.349904,0.465956,0.15,0.385201
1.3,0.631928,0.67062,0.760642,0.75,1,0.349904,0.465956,0.15,0.385201
1.35,0.647868,0.686534,0.807695,0.75,1,0.329684,0.448133,0.15,0.394272
1.4,0.662953,0.703115,0.855644,0.75,1,0.309383,0.429946,0.15,0.404179
1.45,0.677217,0.720407,0.904847,0.75,1,0.288911,0.411284,0.15,0.415131
1.5,0.677217,0.720407,0.904847,0.75,1,0.288911,0.411284,0.15,0.415131
1.55,0.690608,0.738395,0.955322,0.75,1,0.268262,0.392231,0.15,0.427475
1.6,0.703034,0.757031,1.00695,0.75,1,0.247467,0.372903,0.15,0.441661
1.65,0.714427,0.776289,1.06122,0.75,1,0.226522,0.351883,0.15,0.456468
1.7,0.714427,0.776289,1.06122,0.75,1,0.226522,0.351883,0.15,0.456468
1.75,0.724779,0.796188,1.11711,0.75,1,0.205366,0.330563,0.15,0.474142
1.8,0.733969,0.816573,1.17435,0.75,1,0.184126,0.309265,0.15,0.495898
1.85,0.742011,0.837545,1.23354,0.75,1,0.162651,0.288115,0.15,0.52409
1.9,0.742011,0.837545,1.23354,0.75,1,0.162651,0.288115,0.15,0.52409
1.95,0.748707,0.858825,1.29674,0.75,1,0.141181,0.264901,0.141181,0.523627
2,0.75403,0.880476,1.36285,0.75,1,0.119592,0.241647,0.119592,0.478605
2.05,0.757502,0.900211,1.42472,0.75,1,0.10007,0.221117,0.10007,0.438639
2.1,0.757502,0.900211,1.42472,0.75,1,0.10007,0.221117,0.10007,0.438639
2.15,0.759398,0.916184,1.48041,0.75,1,0.0843414,0.202047,0.0843414,0.40135
2.2,0.760335,0.931031,1.53458,0.75,1,0.0697391,0.18496,0.0697391,0.367814
2.25,0.760491,0.942987,1.58254,0.75,1,0.0579701,0.170223,0.0579701,0.338805
2.3,0.760491,0.942987,1.58254,0.75,1,0.0579701,0.170223,0.0579701,0.338805
2.35,0.760175,0.952395,1.62621,0.75,1,0.0486802,0.155149,0.0486802,0.309055

Metric,Value
IAE,0.861859
ISE,0.407937
ITAE,0.719514
ITSE,0.260922

Parameter,Value
kv,1
vmax,0.15
wmax,1
controller_type,1
