time,xr,yr,theta_r,xt,yt,d,e_theta,v,w
0.05,0.278844,0.524967,0.000528904,0.75,1,0.669062,0.788966,0.15,0.709625
0.1,0.278844,0.524967,0.000528904,0.75,1,0.669062,0.788966,0.15,0.709625
0.15,0.280659,0.524761,0.0328093,0.75,1,0.667932,0.758833,0.15,0.688075
0.2,0.301004,0.527452,0.1533,0.75,1,0.651843,0.65765,0.15,0.611259
0.25,0.322437,0.53143,0.260549,0.75,1,0.634325,0.570577,0.15,0.540118
0.3,0.343921,0.538042,0.330386,0.75,1,0.615065,0.519298,0.15,0.496271
0.35,0.343921,0.538042,0.330386,0.75,1,0.615065,0.519298,0.15,0.496271
0.4,0.364914,0.546045,0.393738,0.75,1,0.595287,0.473557,0.15,0.456055
0.45,0.38539,0.555341,0.454997,0.75,1,0.575032,0.428997,0.15,0.415958
0.5,0.405327,0.565833,0.509848,0.75,1,0.554347,0.389955,0.15,0.380146
0.55,0.424719,0.577358,0.55968,0.75,1,0.533324,0.355165,0.15,0.347745
0.6,0.443418,0.589694,0.603941,0.75,1,0.512195,0.325145,0.15,0.319447
0.65,0.443418,0.589694,0.603941,0.75,1,0.512195,0.325145,0.15,0.319447
0.7,0.461664,0.602864,0.6446,0.75,1,0.490769,0.298208,0.15,0.293808
0.75,0.479368,0.616737,0.683009,0.75,1,0.469182,0.272963,0.15,0.269586
0.8,0.496599,0.631306,0.718477,0.75,1,0.447378,0.250171,0.15,0.24757
0.85,0.513283,0.646375,0.750006,0.75,1,0.425541,0.230897,0.15,0.228851
0.9,0.513283,0.646375,0.750006,0.75,1,0.425541,0.230897,0.15,0.228851
0.95,0.529553,0.661994,0.779159,0.75,1,0.403541,0.213718,0.15,0.212095
1,0.545279,0.677984,0.806945,0.75,1,0.381583,0.197561,0.15,0.196278
1.05,0.560575,0.694399,0.832631,0.75,1,0.359546,0.183282,0.15,0.182258
1.1,0.560575,0.694399,0.832631,0.75,1,0.359546,0.183282,0.15,0.182258
1.15,0.575488,0.711204,0.855767,0.75,1,0.337427,0.171474,0.15,0.170635
1.2,0.589965,0.728284,0.877729,0.75,1,0.315342,0.160792,0.15,0.1601
1.25,0.604138,0.745735,0.898377,0.75,1,0.293132,0.151591,0.15,0.151011
1.3,0.617927,0.763398,0.917325,0.75,1,0.270968,0.144349,0.15,0.143849
1.35,0.617927,0.763398,0.917325,0.75,1,0.270968,0.144349,0.15,0.143849
1.4,0.631419,0.781356,0.935352,0.75,1,0.248731,0.138495,0.15,0.138052
1.45,0.644596,0.799551,0.952891,0.75,1,0.226473,0.1338,0.15,0.133401
1.5,0.65741,0.817917,0.969739,0.75,1,0.204272,0.130631,0.15,0.13026
1.55,0.65741,0.817917,0.969739,0.75,1,0.204272,0.130631,0.15,0.13026
1.6,0.669952,0.836541,0.986069,0.75,1,0.182007,0.129341,0.15,0.128981
1.65,0.682195,0.855355,1.00204,0.75,1,0.159749,0.130406,0.15,0.130036
1.7,0.694124,0.874349,1.01811,0.75,1,0.137515,0.13425,0.137515,0.133847
1.75,0.694124,0.874349,1.01811,0.75,1,0.137515,0.13425,0.137515,0.133847
1.8,0.704948,0.892033,1.03901,0.75,1,0.116989,0.136475,0.116989,0.136052
1.85,0.714761,0.909041,1.05599,0.75,1,0.0975471,0.145197,0.0975471,0.144687
1.9,0.722809,0.923542,1.0731,0.75,1,0.0811494,0.156012,0.0811494,0.15538
1.95,0.722809,0.923542,1.0731,0.75,1,0.0811494,0.156012,0.0811494,0.15538
2,0.728977,0.935148,1.09219,0.75,1,0.068175,0.165122,0.068175,0.164373
2.05,0.734431,0.94592,1.1114,0.75,1,0.056276,0.179096,0.056276,0.17814
2.1,0.738622,0.954608,1.13222,0.75,1,0.0467961,0.192961,0.0467961,0.191766

Metric,Value
IAE,0.755191
ISE,0.355129
ITAE,0.558308
ITSE,0.198594

Parameter,Value
kv,1
vmax,0.15
wmax,1
controller_type,0
