time,xr,yr,theta_r,xt,yt,d,e_theta,v,w
0.05,0.279505,0.524982,0.00109719,0.75,1,0.668586,0.789085,0.167147,0.354855
0.1,0.279092,0.525,0.00382878,0.75,1,0.668865,0.785895,0.167216,0.353729
0.15,0.279092,0.525,0.00382878,0.75,1,0.668865,0.785895,0.167216,0.353729
0.2,0.287626,0.525131,0.0175284,0.75,1,0.662789,0.781201,0.165697,0.352066
0.25,0.318786,0.526034,0.0261291,0.75,1,0.640773,0.806464,0.160193,0.360922
0.3,0.318786,0.526034,0.0261291,0.75,1,0.640773,0.806464,0.160193,0.360922
0.35,0.343209,0.526856,0.0653996,0.75,1,0.623974,0.795262,0.155994,0.357024
0.4,0.367083,0.528971,0.110056,0.75,1,0.607037,0.77816,0.151759,0.350985
0.45,0.390049,0.532034,0.153958,0.75,1,0.590387,0.761174,0.147597,0.344886
0.5,0.390049,0.532034,0.153958,0.75,1,0.590387,0.761174,0.147597,0.344886
0.55,0.411978,0.535936,0.197076,0.75,1,0.57412,0.74419,0.14353,0.338688
0.6,0.432822,0.540732,0.233036,0.75,1,0.558147,0.73336,0.139537,0.334685
0.65,0.450358,0.545503,0.244212,0.75,1,0.544383,0.743712,0.136096,0.338512
0.7,0.450358,0.545503,0.244212,0.75,1,0.544383,0.743712,0.136096,0.338512
0.75,0.4684,0.551276,0.302048,0.75,1,0.529766,0.708312,0.132441,0.325276
0.8,0.486554,0.558029,0.354146,0.75,1,0.514531,0.679124,0.128633,0.314056
0.85,0.503958,0.565502,0.402446,0.75,1,0.499325,0.653103,0.124831,0.303827
0.9,0.503958,0.565502,0.402446,0.75,1,0.499325,0.653103,0.124831,0.303827
0.95,0.520169,0.573652,0.45259,0.75,1,0.48435,0.623795,0.121087,0.29206
1,0.534852,0.581944,0.490458,0.75,1,0.470169,0.605047,0.117542,0.2844
1.05,0.548531,0.591161,0.545604,0.75,1,0.455784,0.567335,0.113946,0.268693
1.1,0.548531,0.591161,0.545604,0.75,1,0.455784,0.567335,0.113946,0.268693
1.15,0.560927,0.600824,0.597218,0.75,1,0.44169,0.531224,0.110422,0.253295
1.2,0.573878,0.610511,0.634385,0.75,1,0.427459,0.511741,0.106865,0.244848
1.25,0.585403,0.618783,0.665402,0.75,1,0.415233,0.497805,0.103808,0.238749
1.3,0.585403,0.618783,0.665402,0.75,1,0.415233,0.497805,0.103808,0.238749
1.35,0.596548,0.626483,0.686629,0.75,1,0.40381,0.49436,0.100952,0.237234
1.4,0.606888,0.635879,0.73747,0.75,1,0.391236,0.458839,0.0978089,0.221454
1.45,0.606888,0.635879,0.73747,0.75,1,0.391236,0.458839,0.0978089,0.221454
1.5,0.616254,0.645347,0.788658,0.75,1,0.379034,0.421511,0.0947585,0.20457
1.55,0.6257,0.654773,0.827188,0.75,1,0.366923,0.398006,0.0917308,0.19379
1.6,0.634821,0.664226,0.853322,0.75,1,0.354979,0.387027,0.0887447,0.188719
1.65,0.634821,0.664226,0.853322,0.75,1,0.354979,0.387027,0.0887447,0.188719
1.7,0.643363,0.673526,0.878618,0.75,1,0.343448,0.376471,0.0858621,0.183821
1.75,0.651467,0.682752,0.905098,0.75,1,0.332198,0.364557,0.0830495,0.178268
1.8,0.651467,0.682752,0.905098,0.75,1,0.332198,0.364557,0.0830495,0.178268
1.85,0.658604,0.6917,0.922548,0.75,1,0.321562,0.36005,0.0803905,0.176161
1.9,0.664431,0.701361,0.938829,0.75,1,0.310656,0.352913,0.077664,0.172817
1.95,0.669493,0.711533,0.967038,0.75,1,0.29949,0.331599,0.0748726,0.162778
2,0.669493,0.711533,0.967038,0.75,1,0.29949,0.331599,0.0748726,0.162778
2.05,0.673932,0.72154,0.995205,0.75,1,0.288663,0.308923,0.0721658,0.152016
2.1,0.678934,0.730648,1.0071,0.75,1,0.27857,0.305735,0.0696424,0.150497
2.15,0.683762,0.739322,1.02408,0.75,1,0.268962,0.297879,0.0672405,0.146747
2.2,0.683762,0.739322,1.02408,0.75,1,0.268962,0.297879,0.0672405,0.146747
2.25,0.688385,0.747742,1.04103,0.75,1,0.259674,0.290206,0.0649185,0.143075
2.3,0.692848,0.756177,1.05792,0.75,1,0.250431,0.282629,0.0626079,0.139441
2.35,0.697094,0.764379,1.07461,0.75,1,0.241488,0.275306,0.0603719,0.135921
2.4,0.697094,0.764379,1.07461,0.75,1,0.241488,0.275306,0.0603719,0.135921
2.45,0.700973,0.772228,1.09076,0.75,1,0.232989,0.268028,0.0582472,0.132415
2.5,0.704678,0.780063,1.10704,0.75,1,0.224558,0.26053,0.0561396,0.128796
2.55,0.708253,0.787693,1.11977,0.75,1,0.216373,0.256868,0.0540931,0.127026
2.6,0.708253,0.787693,1.11977,0.75,1,0.216373,0.256868,0.0540931,0.127026
2.65,0.71159,0.794867,1.12876,0.75,1,0.208698,0.25694,0.0521745,0.127061
2.7,0.714836,0.802,1.13861,0.75,1,0.201098,0.256423,0.0502745,0.126811
2.75,0.71782,0.808738,1.14877,0.75,1,0.193951,0.255334,0.0484877,0.126284
