time,xr,yr,theta_r,xt,yt,d,e_theta,v,w
0.05,0.278792,0.524937,-0.00132824,0.75,1,0.66912,0.790801,0.16728,0.710917
0.1,0.278792,0.524937,-0.00132824,0.75,1,0.66912,0.790801,0.16728,0.710917
0.15,0.280279,0.524811,0.0397282,0.75,1,0.668164,0.751457,0.167041,0.682704
0.2,0.299844,0.528643,0.151308,0.75,1,0.65178,0.657093,0.162945,0.610818
0.25,0.323976,0.532514,0.291612,0.75,1,0.632487,0.540157,0.158122,0.514271
0.3,0.323976,0.532514,0.291612,0.75,1,0.632487,0.540157,0.158122,0.514271
0.35,0.346662,0.540232,0.359059,0.75,1,0.611611,0.491626,0.152903,0.47206
0.4,0.368346,0.549177,0.420938,0.75,1,0.590678,0.447358,0.14767,0.432585
0.45,0.368346,0.549177,0.420938,0.75,1,0.590678,0.447358,0.14767,0.432585
0.5,0.388489,0.558897,0.476602,0.75,1,0.570317,0.407638,0.142579,0.396442
0.55,0.407901,0.569632,0.531033,0.75,1,0.549771,0.368142,0.137443,0.359882
0.6,0.42583,0.580784,0.578707,0.75,1,0.529933,0.333857,0.132483,0.327689
0.65,0.42583,0.580784,0.578707,0.75,1,0.529933,0.333857,0.132483,0.327689
0.7,0.442362,0.592119,0.620553,0.75,1,0.510889,0.304038,0.127722,0.299376
0.75,0.458301,0.604022,0.660997,0.75,1,0.49182,0.274893,0.122955,0.271444
0.8,0.472993,0.615896,0.697178,0.75,1,0.47357,0.24882,0.118392,0.246261
0.85,0.472993,0.615896,0.697178,0.75,1,0.47357,0.24882,0.118392,0.246261
0.9,0.486549,0.627647,0.729191,0.75,1,0.456128,0.225842,0.114032,0.223927
0.95,0.499621,0.639708,0.760011,0.75,1,0.438749,0.203467,0.109687,0.202066
1,0.511693,0.651512,0.787022,0.75,1,0.422178,0.183983,0.105544,0.182947
1.05,0.523008,0.663153,0.811229,0.75,1,0.406191,0.166592,0.101548,0.165823
1.1,0.523008,0.663153,0.811229,0.75,1,0.406191,0.166592,0.101548,0.165823
1.15,0.533457,0.674402,0.83227,0.75,1,0.39103,0.151635,0.0977576,0.151055
1.2,0.543582,0.685765,0.852727,0.75,1,0.375968,0.136865,0.0939921,0.136438
1.25,0.553004,0.696744,0.870879,0.75,1,0.361623,0.12382,0.0904058,0.123504
1.3,0.561736,0.707286,0.886621,0.75,1,0.34803,0.112619,0.0870075,0.112381
1.35,0.561736,0.707286,0.886621,0.75,1,0.34803,0.112619,0.0870075,0.112381
1.4,0.569998,0.717572,0.900925,0.75,1,0.334912,0.102449,0.083728,0.10227
1.45,0.57793,0.727731,0.914369,0.75,1,0.322084,0.0928199,0.0805211,0.0926867
1.5,0.585298,0.737425,0.926011,0.75,1,0.309955,0.0845625,0.0774888,0.0844618
1.55,0.585298,0.737425,0.926011,0.75,1,0.309955,0.0845625,0.0774888,0.0844618
1.6,0.59231,0.746858,0.936862,0.75,1,0.29824,0.0768244,0.0745601,0.0767488
1.65,0.599064,0.756154,0.946836,0.75,1,0.286779,0.0697011,0.0716948,0.0696447
1.7,0.60537,0.765002,0.955767,0.75,1,0.275938,0.0633264,0.0689845,0.0632841
1.75,0.60537,0.765002,0.955767,0.75,1,0.275938,0.0633264,0.0689845,0.0632841
1.8,0.611359,0.773563,0.963734,0.75,1,0.265509,0.0576676,0.0663773,0.0576357
1.85,0.617164,0.781988,0.971405,0.75,1,0.255293,0.0521578,0.0638234,0.0521342
1.9,0.622678,0.790119,0.978333,0.75,1,0.245481,0.0471774,0.0613702,0.0471599
1.95,0.622678,0.790119,0.978333,0.75,1,0.245481,0.0471774,0.0613702,0.0471599
2,0.62783,0.797831,0.984267,0.75,1,0.236216,0.042956,0.059054,0.0429428
2.05,0.632886,0.805489,0.99002,0.75,1,0.227046,0.0388194,0.0567616,0.0388097
2.1,0.637675,0.812836,0.995127,0.75,1,0.218282,0.0351464,0.0545705,0.0351391
2.15,0.642223,0.819889,0.999668,0.75,1,0.209894,0.031891,0.0524736,0.0318856
2.2,0.642223,0.819889,0.999668,0.75,1,0.209894,0.031891,0.0524736,0.0318856
2.25,0.646488,0.826566,1.00365,0.75,1,0.201976,0.0290605,0.0504939,0.0290564
2.3,0.650657,0.833139,1.00748,0.75,1,0.194195,0.0263154,0.0485487,0.0263124
2.35,0.650657,0.833139,1.00748,0.75,1,0.194195,0.0263154,0.0485487,0.0263124
2.4,0.654568,0.839356,1.01087,0.75,1,0.186852,0.0238925,0.046713,0.0238903
2.45,0.658418,0.845521,1.01408,0.75,1,0.179585,0.0215791,0.0448963,0.0215774
2.5,0.66207,0.851425,1.01683,0.75,1,0.172645,0.0195791,0.0431612,0.0195779
2.55,0.66207,0.851425,1.01683,0.75,1,0.172645,0.0195791,0.0431612,0.0195779
2.6,0.665489,0.856968,1.01937,0.75,1,0.166133,0.0177629,0.0415333,0.017762
2.65,0.668871,0.862483,1.02176,0.75,1,0.159665,0.0160302,0.0399163,0.0160296
2.7,0.672079,0.867744,1.02392,0.75,1,0.153503,0.0144602,0.0383758,0.0144597
