time,xr,yr,theta_r,xt,yt,d,e_theta,v,w
0.05,0.203875,0.825,0.00126982,nan,nan,nan,nan,0.1,0
0.1,0.203887,0.824988,0.00124087,nan,nan,nan,nan,0.1,0
0.15,0.203887,0.824988,0.00124087,nan,nan,nan,nan,0.1,0
0.2,0.204648,0.824788,0.00162353,nan,nan,nan,nan,0.1,0
0.25,0.215647,0.824983,-0.00691779,nan,nan,nan,nan,0.1,0
0.3,0.225561,0.824915,-0.00696391,nan,nan,nan,nan,0.1,0
0.35,0.235598,0.824844,-0.00698855,nan,nan,nan,nan,0.1,0
0.4,0.250517,0.824741,-0.00700577,nan,nan,nan,nan,0.1,0
0.45,0.250517,0.824741,-0.00700577,nan,nan,nan,nan,0.1,0
0.5,0.265544,0.824636,-0.0070531,nan,nan,nan,nan,0.1,0
0.55,0.280449,0.824532,-0.00700196,nan,nan,nan,nan,0.1,0
0.6,0.295462,0.824428,-0.00698317,nan,nan,nan,nan,0.1,0
0.65,0.295462,0.824428,-0.00698317,nan,nan,nan,nan,0.1,0
0.7,0.31039,0.824324,-0.00693431,nan,nan,nan,nan,0.1,0
0.75,0.325378,0.824219,-0.00696972,nan,nan,nan,nan,0.1,0
0.8,0.335367,0.824148,-0.00695438,nan,nan,nan,nan,0.1,0
0.85,0.335367,0.824148,-0.00695438,nan,nan,nan,nan,0.1,0
0.9,0.350293,0.824044,-0.00699517,nan,nan,nan,nan,0.1,0
0.95,0.365329,0.823939,-0.00703595,nan,nan,nan,nan,0.1,0
1,0.365329,0.823939,-0.00703595,nan,nan,nan,nan,0.1,0
1.05,0.380228,0.823835,-0.00703398,nan,nan,nan,nan,0.1,0
1.1,0.395225,0.82373,-0.0071252,nan,nan,nan,nan,0.1,0
1.15,0.405183,0.823661,-0.00713058,nan,nan,nan,nan,0.1,0
1.2,0.415189,0.82359,-0.0071293,nan,nan,nan,nan,0.1,0
1.25,0.415189,0.82359,-0.0071293,nan,nan,nan,nan,0.1,0
1.3,0.430168,0.823483,-0.00712344,nan,nan,nan,nan,0.1,0
1.35,0.440134,0.823412,-0.00712671,nan,nan,nan,nan,0.1,0
1.4,0.455153,0.823304,-0.00716065,nan,nan,nan,nan,0.1,0
1.45,0.465093,0.823233,-0.00718953,nan,nan,nan,nan,0.1,0
1.5,0.475083,0.823161,-0.00722397,nan,nan,nan,nan,0.1,0
1.55,0.48509,0.823088,-0.00723865,nan,nan,nan,nan,0.1,0
1.6,0.495025,0.823017,-0.00728138,nan,nan,nan,nan,0.1,0
1.65,0.495025,0.823017,-0.00728138,nan,nan,nan,nan,0.1,0
1.7,0.505009,0.822945,-0.00731696,nan,nan,nan,nan,0.1,0
1.75,0.515043,0.822873,-0.00734399,nan,nan,nan,nan,0.1,0
1.8,0.524979,0.8228,-0.00732079,nan,nan,nan,nan,0.1,0
1.85,0.539953,0.822693,-0.00737925,nan,nan,nan,nan,0.1,0
1.9,0.554942,0.822583,-0.00735448,nan,nan,nan,nan,0.1,0
1.95,0.554942,0.822583,-0.00735448,nan,nan,nan,nan,0.1,0
2,0.569899,0.822473,-0.00735954,nan,nan,nan,nan,0.1,0
2.05,0.584898,0.822361,-0.00740445,nan,nan,nan,nan,0.1,0
2.1,0.584898,0.822361,-0.00740445,nan,nan,nan,nan,0.1,0
2.15,0.599854,0.82225,-0.00744813,nan,nan,nan,nan,0.1,0
2.2,0.614831,0.822137,-0.00750381,nan,nan,nan,nan,0.1,0
2.25,0.614831,0.822137,-0.00750381,nan,nan,nan,nan,0.1,0
2.3,0.629802,0.822026,-0.00756257,nan,nan,nan,nan,0.1,0
2.35,0.639796,0.82195,-0.00759258,nan,nan,nan,nan,0.1,0
2.4,0.64975,0.821876,-0.00761552,nan,nan,nan,nan,0.1,0
2.45,0.659756,0.821801,-0.00762425,nan,nan,nan,nan,0.1,0
2.5,0.669733,0.821721,-0.00771786,nan,nan,nan,nan,0.1,0
2.55,0.684678,0.821605,-0.00779256,nan,nan,nan,nan,0.1,0
2.6,0.694708,0.821524,-0.00786993,nan,nan,nan,nan,0.1,0
2.65,0.694708,0.821524,-0.00786993,nan,nan,nan,nan,0.1,0
2.7,0.709634,0.821408,-0.00787377,nan,nan,nan,nan,0.1,0
2.75,0.724652,0.821289,-0.00787061,nan,nan,nan,nan,0.1,0
2.8,0.734585,0.82121,-0.00788643,nan,nan,nan,nan,0.1,0
2.85,0.734585,0.82121,-0.00788643,nan,nan,nan,nan,0.1,0
2.9,0.749589,0.82109,-0.00791447,nan,nan,nan,nan,0.1,0
2.95,0.764515,0.820973,-0.00794155,nan,nan,nan,nan,0.1,0
3,0.77452,0.820894,-0.0079507,nan,nan,nan,nan,0.1,0
3.05,0.78449,0.820816,-0.00797146,nan,nan,nan,nan,0.1,0
3.1,0.78449,0.820816,-0.00797146,nan,nan,nan,nan,0.1,0
3.15,0.79943,0.820698,-0.00794905,nan,nan,nan,nan,0.1,0
3.2,0.80945,0.820617,-0.00782408,nan,nan,nan,nan,0.1,0
3.25,0.819418,0.820534,-0.00770013,nan,nan,nan,nan,0.1,0
3.3,0.829371,0.820447,-0.00759514,nan,nan,nan,nan,0.1,0
3.35,0.839374,0.82037,-0.00755547,nan,nan,nan,nan,0.1,0
3.4,0.849363,0.820294,-0.00755971,nan,nan,nan,nan,0.1,0
3.45,0.849363,0.820294,-0.00755971,nan,nan,nan,nan,0.1,0
3.5,0.86429,0.820178,-0.00754332,nan,nan,nan,nan,0.1,0
3.55,0.874296,0.8201,-0.00752283,nan,nan,nan,nan,0.1,0
3.6,0.884281,0.820026,-0.0075883,nan,nan,nan,nan,0.1,0
3.65,0.899213,0.819913,-0.00761657,nan,nan,nan,nan,0.1,0
3.7,0.899213,0.819913,-0.00761657,nan,nan,nan,nan,0.1,0
3.75,0.91424,0.819795,-0.00760712,nan,nan,nan,nan,0.1,0
3.8,0.924168,0.819721,-0.00759809,nan,nan,nan,nan,0.1,0
3.85,0.939153,0.819608,-0.00757278,nan,nan,nan,nan,0.1,0
3.9,0.939153,0.819608,-0.00757278,nan,nan,nan,nan,0.1,0
3.95,0.954113,0.819496,-0.00758458,nan,nan,nan,nan,0.1,0
4,0.969077,0.819382,-0.00756169,nan,nan,nan,nan,0.1,0
4.05,0.984059,0.819266,-0.0075271,nan,nan,nan,nan,0.1,0
4.1,0.984059,0.819266,-0.0075271,nan,nan,nan,nan,0.1,0
4.15,0.994011,0.819191,-0.00755195,nan,nan,nan,nan,0.1,0
4.2,1.00401,0.819115,-0.00757123,nan,nan,nan,nan,0.1,0
4.25,1.01399,0.819037,-0.00756059,nan,nan,nan,nan,0.1,0
4.3,1.02395,0.818962,-0.00758191,nan,nan,nan,nan,0.1,0
4.35,1.03896,0.818846,-0.00758013,nan,nan,nan,nan,0.1,0
4.4,1.03896,0.818846,-0.00758013,nan,nan,nan,nan,0.1,0
4.45,1.05388,0.818735,-0.0075812,nan,nan,nan,nan,0.1,0
4.5,1.0689,0.818623,-0.00760133,nan,nan,nan,nan,0.1,0
4.55,1.08382,0.818512,-0.00753863,nan,nan,nan,nan,0.1,0
4.6,1.08382,0.818512,-0.00753863,nan,nan,nan,nan,0.1,0
4.65,1.09883,0.818398,-0.00735085,nan,nan,nan,nan,0.1,0
4.7,1.11375,0.818288,-0.00719108,nan,nan,nan,nan,0.1,0
4.75,1.11375,0.818288,-0.00719108,nan,nan,nan,nan,0.1,0
4.8,1.12877,0.818181,-0.00706862,nan,nan,nan,nan,0.1,0
4.85,1.14369,0.818076,-0.00695971,nan,nan,nan,nan,0.1,0
4.9,1.15869,0.817974,-0.00685651,nan,nan,nan,nan,0.0982281,-0.0402704
4.95,1.15869,0.817974,-0.00685651,nan,nan,nan,nan,0.0686003,-0.71363
5,1.17345,0.817852,-0.0101309,nan,nan,nan,nan,0.068644,-0.712636
5.05,1.18412,0.817334,-0.0943516,nan,nan,nan,nan,0.0690771,-0.702793
5.1,1.18412,0.817334,-0.0943516,nan,nan,nan,nan,0.0709135,-0.661057
5.15,1.19431,0.8159,-0.18193,nan,nan,nan,nan,0.0729242,-0.61536
5.2,1.20451,0.813554,-0.265741,nan,nan,nan,nan,0.0754964,-0.556901
5.25,1.21493,0.810278,-0.339685,nan,nan,nan,nan,0.0785392,-0.487745
5.3,1.22207,0.807575,-0.382737,nan,nan,nan,nan,0.0819518,-0.410187
5.35,1.22207,0.807575,-0.382737,nan,nan,nan,nan,0.085622,-0.326774
5.4,1.23315,0.802724,-0.436914,nan,nan,nan,nan,0.0893923,-0.241085
5.45,1.24475,0.796999,-0.474338,nan,nan,nan,nan,0.0931043,-0.156721
5.5,1.24475,0.796999,-0.474338,nan,nan,nan,nan,0.0966312,-0.0765632
5.55,1.25694,0.790533,-0.497333,nan,nan,nan,nan,0.0998616,-0.00314635
5.6,1.2697,0.783524,-0.503889,nan,nan,nan,nan,0.099909,-0.00206858
5.65,1.2697,0.783524,-0.503889,nan,nan,nan,nan,0.0999405,-0.00135291
5.7,1.2828,0.7763,-0.504276,nan,nan,nan,nan,0.099972,-0.000637401
5.75,1.29152,0.771487,-0.504412,nan,nan,nan,nan,0.1,0
5.8,1.30027,0.766652,-0.504488,nan,nan,nan,nan,0.1,0
5.85,1.30902,0.761827,-0.504469,nan,nan,nan,nan,0.1,0
5.9,1.31773,0.757018,-0.504476,nan,nan,nan,nan,0.1,0
5.95,1.33087,0.749764,-0.504467,nan,nan,nan,nan,0.1,0
6,1.33087,0.749764,-0.504467,nan,nan,nan,nan,0.1,0
6.05,1.34393,0.742553,-0.504387,nan,nan,nan,nan,0.1,0
6.1,1.35705,0.735313,-0.50434,nan,nan,nan,nan,0.1,0
6.15,1.36581,0.730476,-0.504308,nan,nan,nan,nan,0.1,0
6.2,1.37451,0.725674,-0.5043,nan,nan,nan,nan,0.1,0
6.25,1.37451,0.725674,-0.5043,nan,nan,nan,nan,0.1,0
6.3,1.38764,0.718427,-0.504309,nan,nan,nan,nan,0.1,0
