time,xr,yr,theta_r,xt,yt,d,e_theta,v,w
0.05,0.204002,0.824989,0.000229097,1.25,0.75,1.04868,-0.0717979,0.157302,-0.0215209
0.1,0.203931,0.82502,-0.00649776,1.25,0.75,1.04876,-0.0650953,0.157313,-0.0195148
0.15,0.203931,0.82502,-0.00649776,1.25,0.75,1.04876,-0.0650953,0.157109,-0.0195148
0.2,0.214762,0.824828,-0.0239176,1.25,0.75,1.03794,-0.0482383,0.149033,-0.0144659
0.25,0.240091,0.824222,-0.0396952,1.25,0.75,1.01263,-0.0336662,0.136153,-0.010098
0.3,0.240091,0.824222,-0.0396952,1.25,0.75,1.01263,-0.0336662,0.119714,-0.010098
0.35,0.261128,0.823368,-0.0410503,1.25,0.75,0.99159,-0.0330078,0.105866,-0.00990054
0.4,0.27847,0.822657,-0.0424814,1.25,0.75,0.974243,-0.0321656,0.0937087,-0.00964802
0.45,0.293744,0.821998,-0.0437023,1.25,0.75,0.958963,-0.0314473,0.0820734,-0.00943264
0.5,0.293744,0.821998,-0.0437023,1.25,0.75,0.958963,-0.0314473,0.0725923,-0.00943264
0.55,0.306681,0.821424,-0.0448291,1.25,0.75,0.946019,-0.0307418,0.0454937,0.103914
0.6,0.31667,0.820973,-0.0408558,1.25,0.75,0.936025,-0.0350406,0.0244927,0.177636
0.65,0.31667,0.820973,-0.0408558,1.25,0.75,0.936025,-0.0350406,0.00861193,0.240478
0.7,0.321722,0.820808,-0.0219714,1.25,0.75,0.930975,-0.0541601,0,0.285322
0.75,0.322679,0.820797,-0.00215991,1.25,0.75,0.93002,-0.0740375,0,0.324272
0.8,0.322757,0.820813,0.0347313,1.25,0.75,0.929943,-0.110952,0,0.356999
0.85,0.322757,0.820813,0.0347313,1.25,0.75,0.929943,-0.110952,0,0.401931
0.9,0.322738,0.820824,0.0775495,1.25,0.75,0.929963,-0.153781,0,0.458183
0.95,0.322763,0.82085,0.129536,1.25,0.75,0.92994,-0.205797,0,0.490717
1,0.322786,0.820873,0.187543,1.25,0.75,0.929919,-0.263831,0,0.518342
1.05,0.322786,0.820873,0.187543,1.25,0.75,0.929919,-0.263831,0,0.560663
1.1,0.322844,0.820905,0.250502,1.25,0.75,0.929863,-0.326829,0,0.582052
1.15,0.322861,0.820935,0.320655,1.25,0.75,0.929849,-0.397016,0,0.599062
1.2,0.322861,0.820935,0.320655,1.25,0.75,0.929849,-0.397016,0,0.631579
1.25,0.322866,0.820956,0.393939,1.25,0.75,0.929845,-0.470323,0.0584834,0.653257
1.3,0.322952,0.821021,0.471872,1.25,0.75,0.929764,-0.548333,0.0542148,0.659345
1.35,0.328396,0.824019,0.550433,1.25,0.75,0.924571,-0.630576,0.0453361,0.686194
1.4,0.328396,0.824019,0.550433,1.25,0.75,0.924571,-0.630576,0.0380122,0.729005
1.45,0.334377,0.828047,0.634316,1.25,0.75,0.918943,-0.71935,0.0320735,0.926117
1.5,0.338658,0.831519,0.731943,1.25,0.75,0.914981,-0.821155,0.0277629,1
1.55,0.338658,0.831519,0.731943,1.25,0.75,0.914981,-0.821155,0.0249746,1
1.6,0.341705,0.834636,0.852962,1.25,0.75,0.91223,-0.945875,0.0233571,1
1.65,0.343299,0.836622,0.935762,1.25,0.75,0.910829,-1.03101,0.0236347,1
1.7,0.34522,0.839629,1.0598,1.25,0.75,0.909209,-1.15854,0.025774,1
1.75,0.34522,0.839629,1.0598,1.25,0.75,0.909209,-1.15854,0.136381,0.649338
1.8,0.34689,0.843096,1.1833,1.25,0.75,0.907896,-1.28602,0.136184,0.670793
1.85,0.351146,0.854307,1.26482,1.25,0.75,0.904886,-1.38035,0.135733,0.715494
1.9,0.356617,0.874528,1.35614,1.25,0.75,0.902021,-1.49463,0.135303,0.74252
1.95,0.356617,0.874528,1.35614,1.25,0.75,0.902021,-1.49463,0.135303,0.769409
2,0.36003,0.894583,1.44663,1.25,0.75,0.901638,-1.60768,0.135246,0.785571
2.05,0.361548,0.914881,1.54295,1.25,0.75,0.903622,-1.72644,0.135543,-0.296373
2.1,0.361548,0.914881,1.54295,1.25,0.75,0.903622,-1.72644,0.135543,-0.296373
2.15,0.361622,0.935254,1.55471,1.25,0.75,0.907488,-1.7603,0.136123,-0.294629
2.2,0.362029,0.948842,1.5304,1.25,0.75,0.909962,-1.7507,0.136494,-0.295159
2.25,0.363257,0.969149,1.4941,1.25,0.75,0.913422,-1.73639,0.137013,-0.295896
2.3,0.365211,0.989502,1.45773,1.25,0.75,0.916631,-1.72208,0.135843,-0.296574
2.35,0.366936,1.00303,1.43333,1.25,0.75,0.9186,-1.71239,0.130883,-0.296998
2.4,0.366936,1.00303,1.43333,1.25,0.75,0.9186,-1.71239,0.123932,-0.296998
2.45,0.370035,1.02255,1.39636,1.25,0.75,0.921207,-1.69672,0.116306,-0.298493
2.5,0.373531,1.04045,1.35916,1.25,0.75,0.923341,-1.67916,0.0924148,-0.433664
2.55,0.373531,1.04045,1.35916,1.25,0.75,0.923341,-1.67916,0.0666282,-0.555514
2.6,0.377046,1.05526,1.31253,1.25,0.75,0.924789,-1.64893,0.0433514,-0.664122
2.65,0.379671,1.06415,1.24284,1.25,0.75,0.92529,-1.58924,0.0259133,-0.752511
2.7,0.380924,1.06747,1.18534,1.25,0.75,0.925246,-1.53558,0.015256,-0.821447
2.75,0.380924,1.06747,1.18534,1.25,0.75,0.925246,-1.53558,0.0113037,-0.874552
2.8,0.382137,1.07006,1.08693,1.25,0.75,0.925001,-1.44025,0.0833455,-0.90048
2.85,0.382662,1.07097,1.01497,1.25,0.75,0.924823,-1.36941,0.0783587,-0.72132
2.9,0.385428,1.07465,0.93574,1.25,0.75,0.923516,-1.29495,0.0697001,-0.636647
2.95,0.390634,1.08125,0.864281,1.25,0.75,0.920998,-1.23219,0.0628381,-0.619476
3,0.397478,1.08864,0.786103,1.25,0.75,0.917318,-1.16421,0.0571852,-0.839462
3.05,0.40185,1.09275,0.726307,1.25,0.75,0.914786,-1.11035,0.0525362,-0.944847
3.1,0.40185,1.09275,0.726307,1.25,0.75,0.914786,-1.11035,0.04959,-1
