time,xr,yr,theta_r,xt,yt,d,e_theta,v,w
0.05,0.204011,0.824989,0.000251892,1.25,0.75,1.04867,-0.071821,0.157301,-0.0717592
0.1,0.203939,0.825017,-0.00738649,1.25,0.75,1.04875,-0.0642043,0.157312,-0.0641602
0.15,0.203939,0.825017,-0.00738649,1.25,0.75,1.04875,-0.0642043,0.157104,-0.0641602
0.2,0.214774,0.824832,-0.0282816,1.25,0.75,1.03793,-0.0438788,0.149348,-0.0438647
0.25,0.239648,0.824064,-0.0490139,1.25,0.75,1.01306,-0.0241601,0.136545,-0.0241578
0.3,0.239648,0.824064,-0.0490139,1.25,0.75,1.01306,-0.0241601,0.120134,-0.0241578
0.35,0.260766,0.82298,-0.0528525,1.25,0.75,0.991923,-0.0207887,0.106295,-0.0207872
0.4,0.27284,0.822332,-0.0547749,1.25,0.75,0.979833,-0.0191134,0.0946436,-0.0191123
0.45,0.288783,0.821439,-0.0572136,1.25,0.75,0.963868,-0.0169713,0.0828257,-0.0169705
0.5,0.302368,0.820645,-0.0594861,1.25,0.75,0.950262,-0.0149251,0.0722005,-0.0149246
0.55,0.302368,0.820645,-0.0594861,1.25,0.75,0.950262,-0.0149251,0.0635629,-0.0149246
0.6,0.313776,0.819954,-0.0614355,1.25,0.75,0.938834,-0.0131451,0.0319597,0.130563
0.65,0.322464,0.819426,-0.0573375,1.25,0.75,0.930131,-0.0173736,0.00536012,0.22279
0.7,0.325049,0.819301,-0.0359753,1.25,0.75,0.927544,-0.0388086,0,0.242908
0.75,0.325049,0.819301,-0.0359753,1.25,0.75,0.927544,-0.0388086,0,0.283671
0.8,0.325321,0.8193,-0.00681469,1.25,0.75,0.927272,-0.0679902,0,0.294451
0.85,0.325336,0.819307,0.0286593,1.25,0.75,0.927258,-0.103474,0,0.300403
0.9,0.325336,0.819307,0.0286593,1.25,0.75,0.927258,-0.103474,0,0.340318
0.95,0.325408,0.819317,0.0655587,1.25,0.75,0.927186,-0.140389,0,0.362833
1,0.325383,0.81932,0.108565,1.25,0.75,0.927211,-0.183396,0,0.360091
1.05,0.325446,0.81934,0.153204,1.25,0.75,0.927151,-0.228062,0,0.352702
1.1,0.325446,0.81934,0.153204,1.25,0.75,0.927151,-0.228062,0,0.385536
1.15,0.325453,0.819352,0.196935,1.25,0.75,0.927145,-0.271806,0,0.389437
1.2,0.325523,0.819379,0.244398,1.25,0.75,0.927076,-0.319304,0,0.372442
1.25,0.32549,0.819378,0.276383,1.25,0.75,0.927109,-0.351286,0,0.367627
1.3,0.325515,0.819395,0.322061,1.25,0.75,0.927086,-0.396984,0,0.347654
1.35,0.325515,0.819395,0.322061,1.25,0.75,0.927086,-0.396984,0,0.367599
1.4,0.325538,0.819413,0.365648,1.25,0.75,0.927064,-0.440593,0,0.345632
1.45,0.325576,0.81944,0.410202,1.25,0.75,0.927029,-0.485178,0,0.322229
1.5,0.325576,0.81944,0.410202,1.25,0.75,0.927029,-0.485178,0.0558184,0.336031
1.55,0.325567,0.819445,0.450968,1.25,0.75,0.927038,-0.525949,0.0531594,0.316821
1.6,0.331131,0.822289,0.493453,1.25,0.75,0.921709,-0.571963,0.0414568,0.341142
1.65,0.33706,0.825634,0.534589,1.25,0.75,0.916068,-0.617246,0.0352476,0.332596
1.7,0.33706,0.825634,0.534589,1.25,0.75,0.916068,-0.617246,0.0298441,0.363056
1.75,0.341806,0.828583,0.576131,1.25,0.75,0.911587,-0.662442,0.025106,0.347577
1.8,0.345386,0.831031,0.620477,1.25,0.75,0.908236,-0.709813,0.021198,0.509659
1.85,0.345386,0.831031,0.620477,1.25,0.75,0.908236,-0.709813,0.0179125,0.624527
1.9,0.348076,0.833077,0.676899,1.25,0.75,0.905742,-0.768751,0.0151354,0.693964
1.95,0.350047,0.834817,0.757029,1.25,0.75,0.903941,-0.850997,0.0131825,0.739536
2,0.350047,0.834817,0.757029,1.25,0.75,0.903941,-0.850997,0.0114471,0.868783
2.05,0.35147,0.836316,0.847113,1.25,0.75,0.902666,-0.942883,0.0112854,0.877988
2.1,0.3526,0.837719,0.94941,1.25,0.75,0.901677,-1.04685,0.0124609,0.873624
2.15,0.353565,0.839272,1.05785,1.25,0.75,0.900869,-1.15711,0.0148658,0.859599
2.2,0.353565,0.839272,1.05785,1.25,0.75,0.900869,-1.15711,0.0184802,0.882331
2.25,0.354509,0.841256,1.16494,1.25,0.75,0.900129,-1.26649,0.135019,0.0251217
2.3,0.355726,0.844273,1.23764,1.25,0.75,0.899229,-1.34268,0.134884,0.0326034
2.35,0.361511,0.860436,1.22215,1.25,0.75,0.895326,-1.34582,0.134299,0.052932
2.4,0.361511,0.860436,1.22215,1.25,0.75,0.895326,-1.34582,0.134299,0.0828839
2.45,0.36811,0.879077,1.22437,1.25,0.75,0.891286,-1.3697,0.133693,0.10588
2.5,0.374836,0.898023,1.2355,1.25,0.75,0.887594,-1.40305,0.133139,0.127554
2.55,0.374836,0.898023,1.2355,1.25,0.75,0.887594,-1.40305,0.133139,0.159125
2.6,0.381261,0.916909,1.25035,1.25,0.75,0.884628,-1.44016,0.132694,0.195474
2.65,0.387346,0.935903,1.27146,1.25,0.75,0.882458,-1.48371,0.132369,0.208492
2.7,0.391137,0.948556,1.28798,1.25,0.75,0.881516,-1.51517,0.132227,0.120676
2.75,0.396471,0.967654,1.30641,1.25,0.75,0.880843,-1.5561,0.132127,-0.337194
2.8,0.396471,0.967654,1.30641,1.25,0.75,0.880843,-1.5561,0.132127,-0.567491
2.85,0.403653,0.992981,1.2604,1.25,0.75,0.880535,-1.53998,0.132004,-0.635664
2.9,0.403653,0.992981,1.2604,1.25,0.75,0.880535,-1.53998,0.131913,-0.651465
2.95,0.410398,1.0115,1.18526,1.25,0.75,0.879382,-1.48719,0.125445,-0.769887
3,0.418461,1.02911,1.1005,1.25,0.75,0.877132,-1.42434,0.11554,-0.854363
3.05,0.418461,1.02911,1.1005,1.25,0.75,0.877132,-1.42434,0.104996,-0.90558
3.1,0.427311,1.04449,0.998747,1.25,0.75,0.873807,-1.34249,0.0946747,-0.913175
3.15,0.436242,1.05673,0.886791,1.25,0.75,0.869648,-1.24726,0.0858429,-0.891112
3.2,0.436242,1.05673,0.886791,1.25,0.75,0.869648,-1.24726,0.0792726,-0.884611
