time,xr,yr,theta_r,xt,yt,d,e_theta,v,w
0.05,0.278995,0.524993,-0.00283798,0.75,1,0.668938,0.792467,0.301289,0.712087
0.1,0.279038,0.524993,-0.00294799,0.75,1,0.668907,0.792623,0.303469,0.77629
0.15,0.275617,0.52487,0.0028996,0.75,1,0.671407,0.783286,0.303856,0.743364
0.2,0.277318,0.524929,0.00632675,0.75,1,0.670164,0.781592,0.303444,0.746894
0.25,0.277318,0.524929,0.00632675,0.75,1,0.670164,0.781592,0.311166,0.38219
0.3,0.297419,0.525166,0.0110604,0.75,1,0.65597,0.798328,0.308836,0.575794
0.35,0.343835,0.528682,0.0805451,0.75,1,0.622182,0.778967,0.28942,0.767876
0.4,0.3927,0.532511,0.259716,0.75,1,0.588395,0.658493,0.274366,0.389049
0.45,0.434202,0.547129,0.367316,0.75,1,0.552106,0.594552,0.248669,0.492491
0.5,0.434202,0.547129,0.367316,0.75,1,0.552106,0.594552,0.254283,0.430882
0.55,0.470216,0.562035,0.424197,0.75,1,0.519705,0.578118,0.23725,0.475546
0.6,0.503311,0.577899,0.482909,0.75,1,0.488901,0.558994,0.222791,0.472362
0.65,0.532552,0.59345,0.543592,0.75,1,0.46105,0.536058,0.21039,0.448575
0.7,0.558756,0.609373,0.60418,0.75,1,0.434929,0.511337,0.198761,0.42302
0.75,0.558756,0.609373,0.60418,0.75,1,0.434929,0.511337,0.199362,0.413537
0.8,0.582003,0.62547,0.661981,0.75,1,0.410482,0.487164,0.184881,0.457166
0.85,0.603898,0.642597,0.719737,0.75,1,0.386112,0.463,0.173905,0.436711
0.9,0.622693,0.659249,0.781958,0.75,1,0.363756,0.43129,0.163836,0.409747
0.95,0.638364,0.675426,0.839604,0.75,1,0.343236,0.39992,0.154594,0.381876
1,0.638364,0.675426,0.839604,0.75,1,0.343236,0.39992,0.154594,0.382742
1.05,0.652418,0.691654,0.895919,0.75,1,0.323419,0.36838,0.145668,0.354133
1.1,0.664969,0.708198,0.948934,0.75,1,0.303939,0.338313,0.136894,0.327438
1.15,0.675331,0.723686,1.0202,0.75,1,0.286225,0.286669,0.128916,0.279566
1.2,0.675331,0.723686,1.0202,0.75,1,0.286225,0.286669,0.128916,0.2808
1.25,0.684347,0.738748,1.06701,0.75,1,0.269375,0.257586,0.121327,0.219141
1.3,0.693813,0.754024,1.10523,0.75,1,0.252311,0.240994,0.113641,0.21098
1.35,0.701921,0.768527,1.13645,0.75,1,0.236413,0.229548,0.10648,0.20504
1.4,0.701921,0.768527,1.13645,0.75,1,0.236413,0.229548,0.10648,0.208388
1.45,0.708492,0.781037,1.16656,0.75,1,0.222863,0.216893,0.100377,0.20017
1.5,0.712686,0.793416,1.19812,0.75,1,0.209926,0.193973,0.0945509,0.179694
1.55,0.716291,0.805271,1.21993,0.75,1,0.197625,0.179459,0.0890103,0.167935
1.6,0.719305,0.816358,1.24828,0.75,1,0.18619,0.156902,0.0838598,0.147374
1.65,0.722305,0.826488,1.25928,0.75,1,0.175708,0.15323,0.0791389,0.144992
1.7,0.722305,0.826488,1.25928,0.75,1,0.175708,0.15323,0.0791389,0.145945
1.75,0.724931,0.83557,1.27309,0.75,1,0.16633,0.146411,0.0749149,0.140003
1.8,0.72759,0.845142,1.28223,0.75,1,0.156472,0.144853,0.0704748,0.138731
1.85,0.729682,0.853965,1.28759,0.75,1,0.147442,0.144965,0.0664077,0.139225
1.9,0.731807,0.862757,1.29591,0.75,1,0.138444,0.143092,0.062355,0.137524
1.95,0.73366,0.870806,1.30203,0.75,1,0.130223,0.142958,0.0586526,0.137526
2,0.73366,0.870806,1.30203,0.75,1,0.130223,0.142958,0.0586526,0.13756
2.05,0.735377,0.878418,1.30479,0.75,1,0.122458,0.146308,0.055155,0.141081
2.1,0.736896,0.885629,1.31454,0.75,1,0.11512,0.142171,0.0518498,0.137062
2.15,0.73855,0.892458,1.32257,0.75,1,0.10815,0.142151,0.0487107,0.137134
2.2,0.73855,0.892458,1.32257,0.75,1,0.10815,0.142151,0.0487107,0.13715
2.25,0.740152,0.898627,1.32477,0.75,1,0.10185,0.149181,0.0458732,0.144151
2.3,0.741366,0.904864,1.33101,0.75,1,0.0955271,0.149281,0.0430254,0.144275
2.35,0.742293,0.910787,1.33502,0.75,1,0.0895448,0.149604,0.040331,0.144611
2.4,0.743142,0.916075,1.34095,0.75,1,0.0842046,0.148321,0.0379258,0.143346
2.45,0.743142,0.916075,1.34095,0.75,1,0.0842046,0.148321,0.0379258,0.143349
2.5,0.744196,0.920849,1.34451,0.75,1,0.0793636,0.153083,0.0357454,0.148052
2.55,0.745236,0.925819,1.34671,0.75,1,0.0743338,0.159951,0.03348,0.154837
2.6,0.745934,0.930431,1.3477,0.75,1,0.0696874,0.164707,0.0313872,0.15953
2.65,0.746336,0.93474,1.3576,0.75,1,0.0653627,0.157113,0.0294393,0.152031
2.7,0.746331,0.938847,1.36755,0.75,1,0.0612628,0.14332,0.0275928,0.138377
2.75,0.746331,0.938847,1.36755,0.75,1,0.0612628,0.14332,0.0275928,0.138355
2.8,0.746227,0.942746,1.37495,0.75,1,0.0573784,0.130044,0.0258432,0.125193
2.85,0.746077,0.946537,1.37951,0.75,1,0.0536071,0.118032,0.0241446,0.11327
2.9,0.745898,0.950077,1.38274,0.75,1,0.0500915,0.106084,0.0225612,0.101391
2.95,0.745684,0.953255,1.38671,0.75,1,0.0469434,0.0920141,0.0211433,0.090331

Metric,Value
IAE,0.813333
ISE,0.345021
ITAE,0.73297
ITSE,0.199073

Parameter,Value
kp,0.5
vmax,1
wmax,1
controller_type,1
