time,xr,yr,theta_r,xt,yt,d,e_theta,v,w
0.05,0.204033,0.824972,0.00140677,1.25,0.75,1.04865,-0.0729613,0.20973,-0.0728966
0.1,0.203967,0.825128,-0.00106142,1.25,0.75,1.04873,-0.0706376,0.209746,-0.0705789
0.15,0.208585,0.825555,-0.00085469,1.25,0.75,1.04415,-0.0715692,0.208438,-0.0715081
0.2,0.208585,0.825555,-0.00085469,1.25,0.75,1.04415,-0.0715692,0,1
0.25,0.2441,0.821726,-0.0964306,1.25,0.75,1.00845,0.0252462,0,0.226278
0.3,0.269616,0.822282,-0.176827,1.25,0.75,0.983045,0.103232,0,-1
0.35,0.28219,0.819192,-0.146502,1.25,0.75,0.97028,0.0751293,0.143998,0.918469
0.4,0.28219,0.819192,-0.146502,1.25,0.75,0.97028,0.0751293,0.148381,-0.681174
0.45,0.277124,0.82338,-0.105139,1.25,0.75,0.975639,0.0298562,0.135999,0.0298517
0.5,0.299967,0.818455,-0.216756,1.25,0.75,0.952496,0.144825,0.119309,0.144319
0.55,0.31901,0.814243,-0.211258,1.25,0.75,0.933203,0.142362,0.102519,0.141882
0.6,0.31901,0.814243,-0.211258,1.25,0.75,0.933203,0.142362,0.0891175,0.141882
0.65,0.335008,0.810943,-0.193976,1.25,0.75,0.917019,0.127469,0.0699698,0.127124
0.7,0.348165,0.808479,-0.176546,1.25,0.75,0.903729,0.111792,0.0585655,0.11156
0.75,0.358097,0.806791,-0.161355,1.25,0.75,0.89371,0.0977669,0.0494639,0.0976112
0.8,0.358097,0.806791,-0.161355,1.25,0.75,0.89371,0.0977669,0,0.562073
0.85,0.365939,0.805567,-0.148538,1.25,0.75,0.885805,0.0857669,0,0.657514
0.9,0.367914,0.805302,-0.0797474,1.25,0.75,0.883818,0.0171343,0,0.673803
0.95,0.368062,0.8053,0.00260354,1.25,0.75,0.88367,-0.0652241,0,0.670905
1,0.368062,0.8053,0.00260354,1.25,0.75,0.88367,-0.0652241,0,0.739547
1.05,0.368149,0.80531,0.0867121,1.25,0.75,0.883584,-0.14935,0,0.715481
1.1,0.368219,0.805346,0.177026,1.25,0.75,0.883516,-0.23971,0,0.678783
1.15,0.368219,0.805346,0.177026,1.25,0.75,0.883516,-0.23971,0,0.720634
1.2,0.368237,0.805376,0.262498,1.25,0.75,0.883501,-0.325216,0,0.690095
1.25,0.368315,0.805423,0.351796,1.25,0.75,0.883426,-0.414574,0,0.634109
1.3,0.368295,0.805419,0.435514,1.25,0.75,0.883445,-0.498286,0,0.580328
1.35,0.368295,0.805419,0.435514,1.25,0.75,0.883445,-0.498286,0,0.596482
1.4,0.368369,0.805481,0.509614,1.25,0.75,0.883375,-0.572461,0,0.545463
1.45,0.368367,0.80551,0.581157,1.25,0.75,0.883378,-0.644037,0.0367973,0.496197
1.5,0.368367,0.80551,0.581157,1.25,0.75,0.883378,-0.644037,0.0319154,0.973034
1.55,0.370606,0.807194,0.644969,1.25,0.75,0.881252,-0.709916,0.0272633,1
1.6,0.374379,0.810448,0.766558,1.25,0.75,0.877705,-0.835482,0.0240716,1
1.65,0.377074,0.813414,0.890325,1.25,0.75,0.875226,-0.962843,0.022266,1
1.7,0.377074,0.813414,0.890325,1.25,0.75,0.875226,-0.962843,0.0222512,1
1.75,0.379032,0.816187,1.01226,1.25,0.75,0.87348,-1.08811,0.0237737,1
1.8,0.380663,0.819146,1.13475,1.25,0.75,0.872083,-1.21412,0.0268776,1
1.85,0.380663,0.819146,1.13475,1.25,0.75,0.872083,-1.21412,0.0347991,1
1.9,0.382046,0.82277,1.2582,1.25,0.75,0.870999,-1.34185,0.1742,0.196672
1.95,0.383286,0.82774,1.38165,1.25,0.75,0.870194,-1.4711,0.174039,0.187492
2,0.383826,0.835871,1.41649,1.25,0.75,0.870421,-1.5153,0.174084,0.188728
