t,xL,yL,thetaL,x1,y1,theta1,x2,y2,theta2,x3,y3,theta3
0.05,0.203875,0.825,0.00126982,0.203875,1.225,0.00126982,0.203875,0.425,0.00126982,-0.821125,0.05,0.00126982
0.1,0.203875,0.825,0.00126982,0.203875,1.225,0.00126982,0.203875,0.425,0.00126982,-0.821125,0.05,0.00126982
0.15,0.203875,0.825,0.00126982,0.203875,1.225,0.00126982,0.203875,0.425,0.00126982,-0.821125,0.05,0.00126982
0.2,0.203888,0.824988,0.00124278,0.203892,1.22499,0.00123749,0.203888,0.42499,0.00123815,-0.821102,0.0499887,0.00126357
0.25,0.203888,0.824988,0.00124278,0.203892,1.22499,0.00123749,0.203888,0.42499,0.00123815,-0.821102,0.0499887,0.00126357
0.3,0.203891,0.824987,0.00121572,0.203913,1.22499,0.00119988,0.203898,0.424988,0.00120252,-0.821025,0.0499168,0.0172621
0.35,0.203891,0.824987,0.00121572,0.203913,1.22499,0.00119988,0.203898,0.424988,0.00120252,-0.821025,0.0499168,0.0172621
0.4,0.203905,0.824988,0.00118404,0.203924,1.22499,0.00117906,0.203923,0.424988,0.00115932,-0.819999,0.0498493,0.0347299
0.45,0.203905,0.824988,0.00118404,0.203924,1.22499,0.00117906,0.203923,0.424988,0.00115932,-0.819999,0.0498493,0.0347299
0.5,0.203931,0.824988,0.00114519,0.203905,1.22499,0.00114164,0.203919,0.424989,0.00115138,-0.814598,0.0504117,0.0709669
0.55,0.203931,0.824988,0.00114519,0.203905,1.22499,0.00114164,0.203919,0.424989,0.00115138,-0.814598,0.0504117,0.0709669
0.6,0.203905,0.824988,0.00116348,0.203899,1.22499,0.00110019,0.20392,0.424989,0.00117728,-0.806739,0.0512557,0.126854
0.65,0.203905,0.824988,0.00116348,0.203899,1.22499,0.00110019,0.20392,0.424989,0.00117728,-0.806739,0.0512557,0.126854
0.7,0.203888,0.824988,0.00118098,0.203905,1.22499,0.00105803,0.203913,0.42499,0.00120502,-0.801376,0.0515441,0.182543
0.75,0.203888,0.824988,0.00118098,0.203905,1.22499,0.00105803,0.203913,0.42499,0.00120502,-0.801376,0.0515441,0.182543
0.8,0.203884,0.824988,0.0011978,0.203925,1.22499,0.0010161,0.203909,0.424991,0.00124022,-0.795407,0.0528483,0.224758
0.85,0.203884,0.824988,0.0011978,0.203925,1.22499,0.0010161,0.203909,0.424991,0.00124022,-0.795407,0.0528483,0.224758
0.9,0.203892,0.824988,0.00121561,0.203925,1.22499,0.000977032,0.203908,0.424992,0.00126419,-0.789524,0.0543359,0.266796
0.95,0.203892,0.824988,0.00121561,0.203925,1.22499,0.000977032,0.203908,0.424992,0.00126419,-0.789524,0.0543359,0.266796
1,0.203913,0.824989,0.00123075,0.20391,1.22499,0.000926461,0.203891,0.424993,0.00129986,-0.783713,0.056075,0.308818
1.05,0.203913,0.824989,0.00123075,0.20391,1.22499,0.000926461,0.203891,0.424993,0.00129986,-0.783713,0.056075,0.308818
1.1,0.203887,0.824989,0.00126233,0.203908,1.22499,0.000879533,0.20389,0.424993,0.00132132,-0.778046,0.0580417,0.350811
1.15,0.203887,0.824989,0.00126233,0.203908,1.22499,0.000879533,0.20389,0.424993,0.00132132,-0.778046,0.0580417,0.350811
1.2,0.20387,0.824989,0.00129155,0.203919,1.22499,0.000831632,0.203896,0.424994,0.00136099,-0.772468,0.0602371,0.392559
1.25,0.20387,0.824989,0.00129155,0.203919,1.22499,0.000831632,0.203896,0.424994,0.00136099,-0.772468,0.0602371,0.392559
1.3,0.203865,0.824989,0.00132014,0.203943,1.22499,0.000779417,0.203878,0.424994,0.00138819,-0.766981,0.062661,0.434113
1.35,0.203865,0.824989,0.00132014,0.203943,1.22499,0.000779417,0.203878,0.424994,0.00138819,-0.766981,0.062661,0.434113
1.4,0.203874,0.82499,0.00134447,0.203924,1.22499,0.000761539,0.203876,0.424995,0.00141517,-0.761587,0.0653185,0.47566
1.45,0.203874,0.82499,0.00134447,0.203924,1.22499,0.000761539,0.203876,0.424995,0.00141517,-0.761587,0.0653185,0.47566
1.5,0.203895,0.82499,0.00137077,0.203909,1.22499,0.000792795,0.203885,0.424995,0.0014431,-0.756302,0.0682056,0.516104
1.55,0.203895,0.82499,0.00137077,0.203909,1.22499,0.000792795,0.203885,0.424995,0.0014431,-0.756302,0.0682056,0.516104
1.6,0.203872,0.824991,0.00140147,0.203907,1.22499,0.00081784,0.203878,0.424996,0.00147255,-0.751127,0.0713012,0.554189
1.65,0.203872,0.824991,0.00140147,0.203907,1.22499,0.00081784,0.203878,0.424996,0.00147255,-0.751127,0.0713012,0.554189
1.7,0.203855,0.824991,0.00143185,0.203918,1.22499,0.000841633,0.203873,0.424996,0.00150414,-0.74611,0.0745529,0.589803
1.75,0.203855,0.824991,0.00143185,0.203918,1.22499,0.000841633,0.203873,0.424996,0.00150414,-0.74611,0.0745529,0.589803
1.8,0.203855,0.824991,0.00143185,0.203918,1.22499,0.000841633,0.203873,0.424996,0.00150414,-0.74611,0.0745529,0.589803
1.85,0.203851,0.824991,0.00146201,0.203921,1.22499,0.000895593,0.203871,0.424996,0.00152896,-0.74121,0.077974,0.623033
1.9,0.203851,0.824991,0.00146201,0.203921,1.22499,0.000895593,0.203871,0.424996,0.00152896,-0.74121,0.077974,0.623033
1.95,0.203851,0.824991,0.00146201,0.203921,1.22499,0.000895593,0.203871,0.424996,0.00152896,-0.74121,0.077974,0.623033
2,0.20386,0.824992,0.00149019,0.203902,1.22499,0.000923196,0.203861,0.424997,0.00156381,-0.736412,0.0815568,0.65391
2.05,0.20386,0.824992,0.00149019,0.203902,1.22499,0.000923196,0.203861,0.424997,0.00156381,-0.736412,0.0815568,0.65391
2.1,0.203873,0.824992,0.00152571,0.203896,1.22499,0.000949028,0.203862,0.424997,0.00159041,-0.731712,0.0852843,0.680138
2.15,0.203873,0.824992,0.00152571,0.203896,1.22499,0.000949028,0.203862,0.424997,0.00159041,-0.731712,0.0852843,0.680138
2.2,0.203853,0.824992,0.00151935,0.203904,1.22499,0.000975142,0.203852,0.424998,0.00162084,-0.727099,0.0891284,0.704061
2.25,0.203853,0.824992,0.00151935,0.203904,1.22499,0.000975142,0.203852,0.424998,0.00162084,-0.727099,0.0891284,0.704061
2.3,0.203846,0.824992,0.00151679,0.203916,1.22499,0.00101171,0.203854,0.424998,0.00165248,-0.722569,0.0930786,0.72584
