t,xL,yL,thetaL,x1,y1,theta1,x2,y2,theta2,x3,y3,theta3
0.05,0.453842,0.824977,-0.000283296,0.203876,1.225,0.00107045,0.203931,0.424989,0.00132599,-0.821093,0.0499877,-0.000253093
0.1,0.453842,0.824977,-0.000283296,0.203876,1.225,0.00107045,0.203931,0.424989,0.00132599,-0.821093,0.0499877,-0.000253093
0.15,0.453837,0.824976,-0.00033943,0.203885,1.225,0.00107478,0.203943,0.424988,0.0013377,-0.821093,0.0499877,-0.000287489
0.2,0.453837,0.824976,-0.00033943,0.203885,1.225,0.00107478,0.203943,0.424988,0.0013377,-0.821093,0.0499877,-0.000287489
0.25,0.453827,0.824976,-0.00038162,0.205237,1.22511,-0.0210601,0.204254,0.425011,0.0252424,-0.821152,0.0499582,0.0140273
0.3,0.453827,0.824976,-0.00038162,0.205237,1.22511,-0.0210601,0.204254,0.425011,0.0252424,-0.821152,0.0499582,0.0140273
0.35,0.453828,0.824975,-0.000423174,0.206936,1.22505,-0.0614267,0.206093,0.425088,0.0652606,-0.820251,0.0499213,0.0296068
0.4,0.453828,0.824975,-0.000423174,0.206936,1.22505,-0.0614267,0.206093,0.425088,0.0652606,-0.820251,0.0499213,0.0296068
0.45,0.453836,0.824975,-0.000477199,0.20882,1.22489,-0.101924,0.207988,0.425241,0.105647,-0.818512,0.0498999,0.0446909
0.5,0.453836,0.824975,-0.000477199,0.20882,1.22489,-0.101924,0.207988,0.425241,0.105647,-0.818512,0.0498999,0.0446909
0.55,0.453816,0.824975,-0.000522356,0.21056,1.22467,-0.14239,0.209831,0.425465,0.146152,-0.808887,0.0508427,0.0880346
0.6,0.453816,0.824975,-0.000522356,0.21056,1.22467,-0.14239,0.209831,0.425465,0.146152,-0.808887,0.0508427,0.0880346
0.65,0.453808,0.824974,-0.000566366,0.212297,1.22438,-0.182555,0.211633,0.425763,0.185765,-0.798241,0.0519545,0.134059
0.7,0.453808,0.824974,-0.000566366,0.212297,1.22438,-0.182555,0.211633,0.425763,0.185765,-0.798241,0.0519545,0.134059
0.75,0.453813,0.824974,-0.000610483,0.21403,1.22401,-0.222727,0.213434,0.426128,0.225303,-0.79208,0.0525393,0.174176
0.8,0.453813,0.824974,-0.000610483,0.21403,1.22401,-0.222727,0.213434,0.426128,0.225303,-0.79208,0.0525393,0.174176
