t,xL,yL,thetaL,x1,y1,theta1,x2,y2,theta2,x3,y3,theta3
0.05,0.453929,0.824987,-0.000140056,0.20384,1.22499,0.00111691,0.203972,0.424989,0.00111087,-0.821094,0.0499718,0.000921694
0.1,0.453929,0.824987,-0.000140056,0.20384,1.22499,0.00111691,0.203972,0.424989,0.00111087,-0.821094,0.0499718,0.000921694
0.15,0.453907,0.824987,-0.000185753,0.203818,1.22499,0.00112592,0.203945,0.424989,0.00111511,-0.821088,0.0499711,0.000964572
0.2,0.453907,0.824987,-0.000185753,0.203818,1.22499,0.00112592,0.203945,0.424989,0.00111511,-0.821088,0.0499711,0.000964572
0.25,0.45389,0.824987,-0.000227829,0.204255,1.22508,-0.0107269,0.204568,0.424977,0.0176506,-0.820655,0.049953,0.0317598
0.3,0.45389,0.824987,-0.000227829,0.204255,1.22508,-0.0107269,0.204568,0.424977,0.0176506,-0.820655,0.049953,0.0317598
0.35,0.453884,0.824987,-0.000270833,0.205961,1.22502,-0.0519004,0.206317,0.425047,0.0585241,-0.819321,0.0499163,0.0631099
0.4,0.453884,0.824987,-0.000270833,0.205961,1.22502,-0.0519004,0.206317,0.425047,0.0585241,-0.819321,0.0499163,0.0631099
0.45,0.45389,0.824987,-0.00031408,0.207833,1.22488,-0.0928971,0.20823,0.425205,0.099697,-0.814166,0.0504246,0.0996218
0.5,0.45389,0.824987,-0.00031408,0.207833,1.22488,-0.0928971,0.20823,0.425205,0.099697,-0.814166,0.0504246,0.0996218
0.55,0.453908,0.824987,-0.000357407,0.20957,1.22467,-0.133969,0.210028,0.42543,0.140877,-0.805949,0.0514176,0.152429
0.6,0.453908,0.824987,-0.000357407,0.20957,1.22467,-0.133969,0.210028,0.42543,0.140877,-0.805949,0.0514176,0.152429
0.65,0.45393,0.824987,-0.000401937,0.211302,1.2244,-0.175158,0.211813,0.425728,0.182065,-0.800534,0.0520573,0.205412
0.7,0.45393,0.824987,-0.000401937,0.211302,1.2244,-0.175158,0.211813,0.425728,0.182065,-0.800534,0.0520573,0.205412
0.75,0.453902,0.824987,-0.00044615,0.213048,1.22404,-0.216382,0.213595,0.426102,0.223256,-0.794608,0.0534288,0.245775
0.8,0.453902,0.824987,-0.00044615,0.213048,1.22404,-0.216382,0.213595,0.426102,0.223256,-0.794608,0.0534288,0.245775
0.85,0.453902,0.824987,-0.00044615,0.213048,1.22404,-0.216382,0.213595,0.426102,0.223256,-0.794608,0.0534288,0.245775
0.9,0.453886,0.824987,-0.000488594,0.214813,1.22361,-0.257673,0.215375,0.426552,0.264445,-0.788795,0.0550383,0.286282
0.95,0.453886,0.824987,-0.000488594,0.214813,1.22361,-0.257673,0.215375,0.426552,0.264445,-0.788795,0.0550383,0.286282
1,0.453881,0.824987,-0.000531747,0.216456,1.22313,-0.29889,0.217074,0.427059,0.305641,-0.783059,0.0568683,0.326857
1.05,0.453881,0.824987,-0.000531747,0.216456,1.22313,-0.29889,0.217074,0.427059,0.305641,-0.783059,0.0568683,0.326857
1.1,0.453886,0.824987,-0.000575098,0.218093,1.22258,-0.340082,0.218761,0.427638,0.346827,-0.77745,0.0589064,0.365588
1.15,0.453886,0.824987,-0.000575098,0.218093,1.22258,-0.340082,0.218761,0.427638,0.346827,-0.77745,0.0589064,0.365588
1.2,0.453902,0.824987,-0.000618519,0.219694,1.22197,-0.381229,0.220348,0.428258,0.388044,-0.771906,0.0611609,0.401489
1.25,0.453902,0.824987,-0.000618519,0.219694,1.22197,-0.381229,0.220348,0.428258,0.388044,-0.771906,0.0611609,0.401489
1.3,0.45393,0.824987,-0.000661977,0.221217,1.22132,-0.422434,0.221912,0.428945,0.429259,-0.766436,0.0636005,0.43424
1.35,0.45393,0.824987,-0.000661977,0.221217,1.22132,-0.422434,0.221912,0.428945,0.429259,-0.766436,0.0636005,0.43424
1.4,0.45393,0.824987,-0.000661977,0.221217,1.22132,-0.422434,0.221912,0.428945,0.429259,-0.766436,0.0636005,0.43424
1.45,0.453914,0.824987,-0.000703353,0.222661,1.22062,-0.463644,0.223395,0.42967,0.470488,-0.761032,0.0662243,0.464693
1.5,0.453914,0.824987,-0.000703353,0.222661,1.22062,-0.463644,0.223395,0.42967,0.470488,-0.761032,0.0662243,0.464693
1.55,0.453887,0.824987,-0.000745923,0.224076,1.21987,-0.50482,0.224838,0.430452,0.511709,-0.75571,0.0690001,0.492733
1.6,0.453887,0.824987,-0.000745923,0.224076,1.21987,-0.50482,0.224838,0.430452,0.511709,-0.75571,0.0690001,0.492733
