t,xL,yL,thetaL,x1,y1,theta1,x2,y2,theta2,x3,y3,theta3
0.05,0.203816,0.824998,0.00442637,0.20388,1.22497,-0.00112046,0.203588,0.424915,-0.0019633,-0.821087,0.0499844,0.00210564
0.1,0.203816,0.824998,0.00442637,0.20388,1.22497,-0.00112046,0.203588,0.424915,-0.0019633,-0.821087,0.0499844,0.00210564
0.15,0.203802,0.824998,0.00442471,0.203887,1.22497,-0.00107309,0.203597,0.424915,-0.0019706,-0.821088,0.0499843,0.00210972
0.2,0.203804,0.824998,0.00442077,0.203886,1.22497,-0.00102193,0.203591,0.424914,-0.0019852,-0.820955,0.0503172,0.0217402
0.25,0.203804,0.824998,0.00442077,0.203886,1.22497,-0.00102193,0.203591,0.424914,-0.0019852,-0.820955,0.0503172,0.0217402
0.3,0.203804,0.824998,0.00442077,0.203886,1.22497,-0.00102193,0.203591,0.424914,-0.0019852,-0.820955,0.0503172,0.0217402
0.35,0.20382,0.824998,0.00441795,0.203887,1.22497,-0.000974062,0.203587,0.424914,-0.00199223,-0.819947,0.0506027,0.0436263
0.4,0.20382,0.824998,0.00441795,0.203887,1.22497,-0.000974062,0.203587,0.424914,-0.00199223,-0.819947,0.0506027,0.0436263
0.45,0.203804,0.824996,0.00440165,0.203891,1.22497,-0.000920781,0.203592,0.424913,-0.00200951,-0.814589,0.0506225,0.0636608
0.5,0.203804,0.824996,0.00440165,0.203891,1.22497,-0.000920781,0.203592,0.424913,-0.00200951,-0.814589,0.0506225,0.0636608
0.55,0.2038,0.824996,0.00440024,0.203888,1.22497,-0.000870182,0.203574,0.424912,-0.00202619,-0.806725,0.0510277,0.0816025
0.6,0.2038,0.824996,0.00440024,0.203888,1.22497,-0.000870182,0.203574,0.424912,-0.00202619,-0.806725,0.0510277,0.0816025
0.65,0.2038,0.824996,0.00440024,0.203888,1.22497,-0.000870182,0.203574,0.424912,-0.00202619,-0.806725,0.0510277,0.0816025
0.7,0.203811,0.824996,0.00439568,0.20389,1.22497,-0.00081684,0.203572,0.424912,-0.00203105,-0.801363,0.0520026,0.114886
0.75,0.203811,0.824996,0.00439568,0.20389,1.22497,-0.00081684,0.203572,0.424912,-0.00203105,-0.801363,0.0520026,0.114886
0.8,0.203809,0.824994,0.00438061,0.203889,1.22497,-0.000764797,0.203585,0.424912,-0.00203612,-0.795323,0.0528372,0.15594
0.85,0.203809,0.824994,0.00438061,0.203889,1.22497,-0.000764797,0.203585,0.424912,-0.00203612,-0.795323,0.0528372,0.15594
0.9,0.203799,0.824995,0.00437762,0.203888,1.22497,-0.000717522,0.203574,0.424911,-0.00204679,-0.789389,0.053908,0.197105
0.95,0.203799,0.824995,0.00437762,0.203888,1.22497,-0.000717522,0.203574,0.424911,-0.00204679,-0.789389,0.053908,0.197105
1,0.203803,0.824995,0.00437344,0.203889,1.22497,-0.000664426,0.203573,0.424911,-0.00205394,-0.783537,0.0552291,0.238272
1.05,0.203803,0.824995,0.00437344,0.203889,1.22497,-0.000664426,0.203573,0.424911,-0.00205394,-0.783537,0.0552291,0.238272
1.1,0.20382,0.824995,0.0043948,0.203891,1.22497,-0.000616217,0.203571,0.42491,-0.00208109,-0.777791,0.0567735,0.27944
1.15,0.20382,0.824995,0.0043948,0.203891,1.22497,-0.000616217,0.203571,0.42491,-0.00208109,-0.777791,0.0567735,0.27944
1.2,0.203801,0.824995,0.00440555,0.203895,1.22497,-0.000563579,0.203561,0.42491,-0.0020863,-0.772095,0.0585675,0.320718
1.25,0.203801,0.824995,0.00440555,0.203895,1.22497,-0.000563579,0.203561,0.42491,-0.0020863,-0.772095,0.0585675,0.320718
1.3,0.203797,0.824995,0.00441156,0.20389,1.22497,-0.000514123,0.203566,0.424909,-0.00209294,-0.766469,0.0605976,0.361982
1.35,0.203797,0.824995,0.00441156,0.20389,1.22497,-0.000514123,0.203566,0.424909,-0.00209294,-0.766469,0.0605976,0.361982
1.4,0.203807,0.824995,0.00441015,0.203894,1.22497,-0.000462511,0.203561,0.424908,-0.00210464,-0.760917,0.0628553,0.403248
1.45,0.203807,0.824995,0.00441015,0.203894,1.22497,-0.000462511,0.203561,0.424908,-0.00210464,-0.760917,0.0628553,0.403248
1.5,0.203811,0.824997,0.00441197,0.20389,1.22497,-0.000414448,0.20356,0.424908,-0.00211136,-0.755459,0.0653601,0.444513
1.55,0.203811,0.824997,0.00441197,0.20389,1.22497,-0.000414448,0.20356,0.424908,-0.00211136,-0.755459,0.0653601,0.444513
1.6,0.203798,0.824996,0.00440848,0.203894,1.22497,-0.000365449,0.203556,0.424907,-0.00212457,-0.750103,0.0680701,0.485793
1.65,0.203798,0.824996,0.00440848,0.203894,1.22497,-0.000365449,0.203556,0.424907,-0.00212457,-0.750103,0.0680701,0.485793
1.7,0.203798,0.824996,0.00440976,0.203888,1.22497,-0.000315707,0.20355,0.424907,-0.00213003,-0.744851,0.0710046,0.525557
1.75,0.203798,0.824996,0.00440976,0.203888,1.22497,-0.000315707,0.20355,0.424907,-0.00213003,-0.744851,0.0710046,0.525557
1.8,0.203814,0.824996,0.00441749,0.203894,1.22497,-0.000262872,0.203556,0.424906,-0.0021363,-0.739764,0.0741132,0.562981
1.85,0.203814,0.824996,0.00441749,0.203894,1.22497,-0.000262872,0.203556,0.424906,-0.0021363,-0.739764,0.0741132,0.562981
1.9,0.203803,0.824997,0.00442753,0.203891,1.22497,-0.000209663,0.203542,0.424906,-0.00214811,-0.734793,0.0774013,0.598061
1.95,0.203803,0.824997,0.00442753,0.203891,1.22497,-0.000209663,0.203542,0.424906,-0.00214811,-0.734793,0.0774013,0.598061
2,0.203803,0.824997,0.00442753,0.203891,1.22497,-0.000209663,0.203542,0.424906,-0.00214811,-0.734793,0.0774013,0.598061
2.05,0.203794,0.824997,0.00443665,0.203894,1.22497,-0.000157143,0.203543,0.424905,-0.00215538,-0.729931,0.0808599,0.630793
