t,xL,yL,thetaL,x1,y1,theta1,x2,y2,theta2,x3,y3,theta3
0.05,0.203875,0.825,0.00126975,0.203875,1.225,0.00126975,0.203875,0.425,0.00126975,-0.821125,0.05,0.00126975
0.1,0.203875,0.825,0.00126975,0.203875,1.225,0.00126975,0.203875,0.425,0.00126975,-0.821125,0.05,0.00126975
0.15,0.203875,0.825,0.00126975,0.203875,1.225,0.00126975,0.203875,0.425,0.00126975,-0.821125,0.05,0.00126975
0.2,0.203875,0.825,0.00126975,0.203875,1.225,0.00126975,0.203875,0.425,0.00126975,-0.821125,0.05,0.00126975
0.25,0.203887,0.82499,0.00124161,0.203893,1.22499,0.00123524,0.20389,0.424988,0.00126291,-0.821112,0.049988,0.00124838
0.3,0.203887,0.82499,0.00124161,0.203893,1.22499,0.00123524,0.20389,0.424988,0.00126291,-0.821112,0.049988,0.00124838
0.35,0.203889,0.824989,0.00122075,0.20392,1.22499,0.00119885,0.203895,0.424987,0.00125905,-0.821969,0.0499806,0.00120348
0.4,0.203889,0.824989,0.00122075,0.20392,1.22499,0.00119885,0.203895,0.424987,0.00125905,-0.821969,0.0499806,0.00120348
0.45,0.203889,0.824989,0.00120217,0.203916,1.22499,0.0011895,0.203914,0.424988,0.00125236,-0.821974,0.0499758,0.0012216
0.5,0.203889,0.824989,0.00120217,0.203916,1.22499,0.0011895,0.203914,0.424988,0.00125236,-0.821974,0.0499758,0.0012216
0.55,0.203888,0.824989,0.00118445,0.203907,1.22499,0.00120408,0.203927,0.424988,0.0012452,-0.821123,0.0499736,0.00131573
0.6,0.203888,0.824989,0.00118445,0.203907,1.22499,0.00120408,0.203927,0.424988,0.0012452,-0.821123,0.0499736,0.00131573
0.65,0.203888,0.824989,0.00116751,0.203912,1.22499,0.00121778,0.203906,0.424988,0.00124302,-0.809911,0.0497979,-0.000386474
0.7,0.203888,0.824989,0.00116751,0.203912,1.22499,0.00121778,0.203906,0.424988,0.00124302,-0.809911,0.0497979,-0.000386474
0.75,0.203888,0.824989,0.00115096,0.203906,1.22499,0.00122623,0.203898,0.424988,0.00122679,-0.801682,0.0500916,-0.0139104
0.8,0.203888,0.824989,0.00115096,0.203906,1.22499,0.00122623,0.203898,0.424988,0.00122679,-0.801682,0.0500916,-0.0139104
0.85,0.203888,0.824989,0.00113472,0.203892,1.22499,0.00119575,0.203901,0.424989,0.00121146,-0.79413,0.0498411,-0.0198955
0.9,0.203888,0.824989,0.00113472,0.203892,1.22499,0.00119575,0.203901,0.424989,0.00121146,-0.79413,0.0498411,-0.0198955
0.95,0.203888,0.824989,0.00111879,0.203891,1.22499,0.0011632,0.203916,0.424989,0.00119582,-0.786731,0.0496902,-0.0211248
1,0.203888,0.824989,0.00111879,0.203891,1.22499,0.0011632,0.203916,0.424989,0.00119582,-0.786731,0.0496902,-0.0211248
1.05,0.203888,0.824989,0.00110318,0.203903,1.22499,0.00113077,0.203938,0.424989,0.00117546,-0.779195,0.0495268,-0.0224078
1.1,0.203888,0.824989,0.00110318,0.203903,1.22499,0.00113077,0.203938,0.424989,0.00117546,-0.779195,0.0495268,-0.0224078
1.15,0.203888,0.824989,0.00108791,0.20391,1.22499,0.00109952,0.203915,0.424989,0.00116082,-0.771734,0.0493545,-0.023654
1.2,0.203888,0.824989,0.00108791,0.20391,1.22499,0.00109952,0.203915,0.424989,0.00116082,-0.771734,0.0493545,-0.023654
1.25,0.203888,0.824989,0.00107302,0.203896,1.22499,0.00107573,0.203904,0.424989,0.00114022,-0.764282,0.0491695,-0.0248459
1.3,0.203888,0.824989,0.00107302,0.203896,1.22499,0.00107573,0.203904,0.424989,0.00114022,-0.764282,0.0491695,-0.0248459
1.35,0.203888,0.824989,0.00105852,0.203896,1.22499,0.00103619,0.203905,0.42499,0.00112162,-0.756818,0.048978,-0.0254274
1.4,0.203888,0.824989,0.00104446,0.203909,1.22499,0.0009883,0.203917,0.42499,0.0010992,-0.749318,0.0487835,-0.025678
1.45,0.203888,0.824989,0.00104446,0.203909,1.22499,0.0009883,0.203917,0.42499,0.0010992,-0.749318,0.0487835,-0.025678
1.5,0.203888,0.824989,0.00103089,0.203908,1.22499,0.000946599,0.20394,0.42499,0.00108261,-0.741792,0.048587,-0.0258631
1.55,0.203888,0.824989,0.00103089,0.203908,1.22499,0.000946599,0.20394,0.42499,0.00108261,-0.741792,0.048587,-0.0258631
1.6,0.203888,0.824989,0.00101785,0.203894,1.22499,0.000901967,0.203925,0.42499,0.00110758,-0.734314,0.0483923,-0.0259881
1.65,0.203888,0.824989,0.00101785,0.203894,1.22499,0.000901967,0.203925,0.42499,0.00110758,-0.734314,0.0483923,-0.0259881
1.7,0.203888,0.824989,0.00100541,0.203894,1.22499,0.000864218,0.203907,0.42499,0.00109602,-0.726856,0.0482002,-0.0260427
1.75,0.203888,0.824989,0.00100541,0.203894,1.22499,0.000864218,0.203907,0.42499,0.00109602,-0.726856,0.0482002,-0.0260427
1.8,0.203888,0.824989,0.000993651,0.203906,1.22499,0.000820742,0.203901,0.42499,0.00108471,-0.719385,0.0480059,-0.0260927
1.85,0.203888,0.824989,0.000993651,0.203906,1.22499,0.000820742,0.203901,0.42499,0.00108471,-0.719385,0.0480059,-0.0260927
1.9,0.203889,0.824988,0.000980821,0.203916,1.22499,0.000784282,0.203906,0.424991,0.0010708,-0.711905,0.0478082,-0.0261056
1.95,0.203889,0.824988,0.000980821,0.203916,1.22499,0.000784282,0.203906,0.424991,0.0010708,-0.711905,0.0478082,-0.0261056
2,0.2039,0.824988,0.00096227,0.203904,1.22499,0.000752678,0.203924,0.424991,0.00105076,-0.704414,0.0476135,-0.0260408
2.05,0.203925,0.824988,0.00093899,0.203905,1.22499,0.000723911,0.203948,0.42499,0.00102992,-0.696912,0.0474187,-0.025972
2.1,0.203925,0.824988,0.00093899,0.203905,1.22499,0.000723911,0.203948,0.42499,0.00102992,-0.696912,0.0474187,-0.025972
2.15,0.203925,0.824988,0.00093899,0.203905,1.22499,0.000723911,0.203948,0.42499,0.00102992,-0.696912,0.0474187,-0.025972
2.2,0.203913,0.824988,0.0009222,0.203918,1.22499,0.000712818,0.203922,0.424991,0.00102921,-0.689439,0.0472252,-0.025911
2.25,0.203909,0.824988,0.000896914,0.203898,1.22499,0.000719771,0.20391,0.424991,0.00102076,-0.681991,0.047026,-0.0258265
2.3,0.203909,0.824988,0.000896914,0.203898,1.22499,0.000719771,0.20391,0.424991,0.00102076,-0.681991,0.047026,-0.0258265
2.35,0.203919,0.824988,0.000871152,0.203885,1.22499,0.000743537,0.20391,0.424991,0.00100643,-0.674531,0.0468331,-0.0257433
2.4,0.203919,0.824988,0.000871152,0.203885,1.22499,0.000743537,0.20391,0.424991,0.00100643,-0.674531,0.0468331,-0.0257433
2.45,0.203918,0.824988,0.000849638,0.203885,1.22499,0.000769218,0.203923,0.424992,0.000989935,-0.667027,0.0466386,-0.0256392
2.5,0.203918,0.824988,0.000849638,0.203885,1.22499,0.000769218,0.203923,0.424992,0.000989935,-0.667027,0.0466386,-0.0256392
2.55,0.20391,0.824988,0.000826371,0.203897,1.22499,0.000798509,0.203949,0.424992,0.000971569,-0.659499,0.0464454,-0.02556
2.6,0.20391,0.824988,0.000826371,0.203897,1.22499,0.000798509,0.203949,0.424992,0.000971569,-0.659499,0.0464454,-0.02556
2.65,0.203914,0.824988,0.000805292,0.203894,1.22499,0.000829727,0.20393,0.424992,0.00099636,-0.652054,0.0462551,-0.0254871
2.7,0.203914,0.824988,0.000805292,0.203894,1.22499,0.000829727,0.20393,0.424992,0.00099636,-0.652054,0.0462551,-0.0254871
2.75,0.203926,0.824988,0.000784271,0.203879,1.22499,0.000863181,0.203922,0.424992,0.000984947,-0.644607,0.0460673,-0.0253757
2.8,0.203926,0.824988,0.000784271,0.203879,1.22499,0.000863181,0.203922,0.424992,0.000984947,-0.644607,0.0460673,-0.0253757
2.85,0.20391,0.824988,0.000740528,0.203878,1.22499,0.000887674,0.203927,0.424992,0.000967028,-0.637109,0.045878,-0.025316
2.9,0.20391,0.824988,0.000740528,0.203878,1.22499,0.000887674,0.203927,0.424992,0.000967028,-0.637109,0.045878,-0.025316
2.95,0.203907,0.824988,0.000697771,0.203889,1.22499,0.000913292,0.203944,0.424992,0.00096466,-0.629588,0.0456874,-0.0252532
3,0.203907,0.824988,0.000697771,0.203889,1.22499,0.000913292,0.203944,0.424992,0.00096466,-0.629588,0.0456874,-0.0252532
3.05,0.203917,0.824987,0.000655506,0.203878,1.22499,0.000939768,0.203931,0.424991,0.000959162,-0.622109,0.0455005,-0.0251781
3.1,0.203917,0.824987,0.000655506,0.203878,1.22499,0.000939768,0.203931,0.424991,0.000959162,-0.622109,0.0455005,-0.0251781
3.15,0.203905,0.824987,0.000613273,0.203869,1.22499,0.000961323,0.203917,0.424991,0.000919558,-0.614654,0.0453115,-0.0251231
3.2,0.203905,0.824987,0.000613273,0.203869,1.22499,0.000961323,0.203917,0.424991,0.000919558,-0.614654,0.0453115,-0.0251231
3.25,0.203892,0.824987,0.000570825,0.203872,1.22499,0.000978579,0.203915,0.424991,0.000885532,-0.607188,0.0451204,-0.0251373
3.3,0.203892,0.824987,0.000570825,0.203872,1.22499,0.000978579,0.203915,0.424991,0.000885532,-0.607188,0.0451204,-0.0251373
3.35,0.203893,0.824987,0.000529167,0.203875,1.22499,0.00098917,0.203927,0.424991,0.000825154,-0.599709,0.0449283,-0.0251563
3.4,0.203893,0.824987,0.000529167,0.203875,1.22499,0.00098917,0.203927,0.424991,0.000825154,-0.599709,0.0449283,-0.0251563
3.45,0.203906,0.824987,0.000488105,0.203857,1.22499,0.00100369,0.203937,0.42499,0.000759322,-0.59222,0.0447341,-0.0251725
3.5,0.203906,0.824987,0.000488105,0.203857,1.22499,0.00100369,0.203937,0.42499,0.000759322,-0.59222,0.0447341,-0.0251725
3.55,0.203898,0.824987,0.000448152,0.203852,1.22499,0.00100663,0.203919,0.424991,0.00068335,-0.584719,0.0445431,-0.0251833
3.6,0.203898,0.824987,0.000448152,0.203852,1.22499,0.00100663,0.203919,0.424991,0.00068335,-0.584719,0.0445431,-0.0251833
3.65,0.20389,0.824987,0.00040712,0.203861,1.22499,0.00100308,0.203915,0.424991,0.000612761,-0.577206,0.0443497,-0.0252357
3.7,0.20389,0.824987,0.00040712,0.203861,1.22499,0.00100308,0.203915,0.424991,0.000612761,-0.577206,0.0443497,-0.0252357
3.75,0.20389,0.824987,0.00040712,0.203861,1.22499,0.00100308,0.203915,0.424991,0.000612761,-0.577206,0.0443497,-0.0252357
3.8,0.203896,0.824986,0.00036742,0.203858,1.22499,0.000990413,0.203925,0.424991,0.000539437,-0.569746,0.0441611,-0.0252477
3.85,0.203896,0.824986,0.00036742,0.203858,1.22499,0.000990413,0.203925,0.424991,0.000539437,-0.569746,0.0441611,-0.0252477
3.9,0.203896,0.824986,0.00036742,0.203858,1.22499,0.000990413,0.203925,0.424991,0.000539437,-0.569746,0.0441611,-0.0252477
3.95,0.203893,0.824986,0.000327803,0.203847,1.22499,0.000988773,0.203941,0.42499,0.000472673,-0.562278,0.0439689,-0.0252993
4,0.203893,0.824986,0.000327803,0.203847,1.22499,0.000988773,0.203941,0.42499,0.000472673,-0.562278,0.0439689,-0.0252993
4.05,0.203882,0.824986,0.000294173,0.203848,1.22499,0.000978604,0.203917,0.424989,0.000440984,-0.5548,0.043777,-0.0253178
4.1,0.203882,0.824986,0.000294173,0.203848,1.22499,0.000978604,0.203917,0.424989,0.000440984,-0.5548,0.043777,-0.0253178
4.15,0.203885,0.824986,0.000260978,0.203861,1.22499,0.000923112,0.203908,0.424989,0.000429865,-0.54731,0.0435845,-0.0253454
4.2,0.203885,0.824986,0.000260978,0.203861,1.22499,0.000923112,0.203908,0.424989,0.000429865,-0.54731,0.0435845,-0.0253454
4.25,0.203889,0.824985,0.000230504,0.203844,1.22499,0.000865804,0.203912,0.424988,0.000430149,-0.539808,0.0433906,-0.0254269
4.3,0.203889,0.824985,0.000230504,0.203844,1.22499,0.000865804,0.203912,0.424988,0.000430149,-0.539808,0.0433906,-0.0254269
4.35,0.203878,0.824985,0.000201074,0.20384,1.22499,0.00080188,0.20393,0.424987,0.000422857,-0.53234,0.0432013,-0.0254374
4.4,0.203878,0.824985,0.000201074,0.20384,1.22499,0.00080188,0.20393,0.424987,0.000422857,-0.53234,0.0432013,-0.0254374
4.45,0.20388,0.824985,0.000174941,0.203851,1.22499,0.000722819,0.203926,0.424987,0.000461252,-0.524877,0.0430134,-0.0254025
4.5,0.20388,0.824985,0.000174941,0.203851,1.22499,0.000722819,0.203926,0.424987,0.000461252,-0.524877,0.0430134,-0.0254025
4.55,0.203883,0.824985,0.000151276,0.203857,1.22499,0.000682982,0.20391,0.424987,0.000457591,-0.517402,0.042819,-0.0254259
4.6,0.203883,0.824985,0.000151276,0.203857,1.22499,0.000682982,0.20391,0.424987,0.000457591,-0.517402,0.042819,-0.0254259
4.65,0.203869,0.824985,0.000126796,0.203838,1.22499,0.00067957,0.203907,0.424986,0.000464809,-0.509916,0.0426321,-0.0253933
4.7,0.203869,0.824985,0.000126796,0.203838,1.22499,0.00067957,0.203907,0.424986,0.000464809,-0.509916,0.0426321,-0.0253933
4.75,0.203868,0.824985,0.0001031,0.203832,1.22499,0.000684565,0.203918,0.424985,0.000460947,-0.502418,0.0424374,-0.0253828
4.8,0.203881,0.824985,7.91963e-05,0.20384,1.22499,0.000677779,0.203939,0.424986,0.000438871,-0.494908,0.0422461,-0.0253402
4.85,0.203881,0.824985,7.91963e-05,0.20384,1.22499,0.000677779,0.203939,0.424986,0.000438871,-0.494908,0.0422461,-0.0253402
4.9,0.203865,0.824985,6.17166e-05,0.203836,1.22499,0.0006684,0.203917,0.424985,0.000438007,-0.487455,0.0420585,-0.0253434
4.95,0.203865,0.824985,6.17166e-05,0.203836,1.22499,0.0006684,0.203917,0.424985,0.000438007,-0.487455,0.0420585,-0.0253434
5,0.203858,0.824984,3.40622e-05,0.203822,1.22499,0.000656985,0.203909,0.424985,0.000430396,-0.47999,0.0418676,-0.0253157
5.05,0.203858,0.824984,3.40622e-05,0.203822,1.22499,0.000656985,0.203909,0.424985,0.000430396,-0.47999,0.0418676,-0.0253157
5.1,0.203865,0.824984,5.20852e-06,0.203821,1.22499,0.000652959,0.203915,0.424985,0.000416589,-0.472513,0.0416801,-0.0252608
5.15,0.203865,0.824984,5.20852e-06,0.203821,1.22499,0.000652959,0.203915,0.424985,0.000416589,-0.472513,0.0416801,-0.0252608
5.2,0.203864,0.824984,-1.75852e-05,0.203834,1.22499,0.00065134,0.203934,0.424983,0.000421692,-0.465024,0.0414924,-0.0251905
5.25,0.203864,0.824984,-1.75852e-05,0.203834,1.22499,0.00065134,0.203934,0.424983,0.000421692,-0.465024,0.0414924,-0.0251905
5.3,0.203853,0.824984,-4.05974e-05,0.203815,1.22499,0.000653177,0.203918,0.424984,0.000401662,-0.457523,0.0413029,-0.0251236
5.35,0.203853,0.824984,-4.05974e-05,0.203815,1.22499,0.000653177,0.203918,0.424984,0.000401662,-0.457523,0.0413029,-0.0251236
5.4,0.203855,0.824984,-6.29778e-05,0.203805,1.22499,0.000649233,0.203908,0.424983,0.000384681,-0.450019,0.0411156,-0.0250666
5.45,0.203855,0.824984,-6.29778e-05,0.203805,1.22499,0.000649233,0.203908,0.424983,0.000384681,-0.450019,0.0411156,-0.0250666
5.5,0.203865,0.824984,-8.39963e-05,0.203809,1.22499,0.000648129,0.203912,0.424983,0.000376245,-0.442562,0.0409221,-0.0250895
5.55,0.203865,0.824984,-8.39963e-05,0.203809,1.22499,0.000648129,0.203912,0.424983,0.000376245,-0.442562,0.0409221,-0.0250895
5.6,0.203854,0.824984,-6.62127e-05,0.203819,1.22499,0.00065487,0.203931,0.424982,0.000342532,-0.435095,0.0407352,-0.0250703
5.65,0.203854,0.824984,-6.62127e-05,0.203819,1.22499,0.00065487,0.203931,0.424982,0.000342532,-0.435095,0.0407352,-0.0250703
5.7,0.203856,0.824984,-4.39597e-05,0.203797,1.22499,0.000651276,0.203921,0.424982,0.000328505,-0.427616,0.0405461,-0.0251182
5.75,0.203856,0.824984,-4.39597e-05,0.203797,1.22499,0.000651276,0.203921,0.424982,0.000328505,-0.427616,0.0405461,-0.0251182
5.8,0.203871,0.824984,-2.18178e-05,0.203788,1.22499,0.000651653,0.20391,0.424982,0.000313016,-0.420125,0.0403564,-0.0251059
5.85,0.203871,0.824984,-2.18178e-05,0.203788,1.22499,0.000651653,0.20391,0.424982,0.000313016,-0.420125,0.0403564,-0.0251059
5.9,0.203856,0.824984,1.30728e-05,0.203793,1.22499,0.000647207,0.203913,0.424981,0.000316887,-0.412622,0.0401717,-0.0250938
5.95,0.203856,0.824984,1.30728e-05,0.203793,1.22499,0.000647207,0.203913,0.424981,0.000316887,-0.412622,0.0401717,-0.0250938
6,0.203849,0.824983,4.52704e-05,0.203807,1.22499,0.000630766,0.20393,0.42498,0.000301776,-0.405161,0.0399834,-0.0251743
6.05,0.203849,0.824983,4.52704e-05,0.203807,1.22499,0.000630766,0.20393,0.42498,0.000301776,-0.405161,0.0399834,-0.0251743
6.1,0.203855,0.824983,7.86324e-05,0.20379,1.22499,0.000573948,0.20392,0.42498,0.000318094,-0.397706,0.0397986,-0.0251753
6.15,0.203874,0.824983,0.000110189,0.203788,1.22499,0.000513251,0.203911,0.42498,0.000317491,-0.390239,0.0396072,-0.0252068
6.2,0.203874,0.824983,0.000110189,0.203788,1.22499,0.000513251,0.203911,0.42498,0.000317491,-0.390239,0.0396072,-0.0252068
6.25,0.203878,0.824983,0.000132771,0.2038,1.22499,0.000459197,0.203916,0.424978,0.000269634,-0.382762,0.0394216,-0.0251637
6.3,0.203878,0.824983,0.000132771,0.2038,1.22499,0.000459197,0.203916,0.424978,0.000269634,-0.382762,0.0394216,-0.0251637
6.35,0.203872,0.824982,0.000160334,0.203796,1.22499,0.00045665,0.203937,0.424979,0.000194782,-0.375273,0.0392322,-0.0251447
6.4,0.203872,0.824982,0.000160334,0.203796,1.22499,0.00045665,0.203937,0.424979,0.000194782,-0.375273,0.0392322,-0.0251447
6.45,0.203879,0.824982,0.000187236,0.203787,1.22499,0.000430063,0.203916,0.424979,0.000156834,-0.367771,0.0390412,-0.0251385
6.5,0.203879,0.824982,0.000187236,0.203787,1.22499,0.000430063,0.203916,0.424979,0.000156834,-0.367771,0.0390412,-0.0251385
6.55,0.203895,0.824982,0.000219877,0.203792,1.22499,0.000402359,0.20391,0.424979,7.66489e-05,-0.36026,0.0388534,-0.0251248
6.6,0.203895,0.824982,0.000219877,0.203792,1.22499,0.000402359,0.20391,0.424979,7.66489e-05,-0.36026,0.0388534,-0.0251248
6.65,0.203881,0.824982,0.000249261,0.203804,1.22499,0.00040631,0.203918,0.42498,1.93368e-05,-0.352777,0.0386632,-0.0250812
6.7,0.203881,0.824982,0.000249261,0.203804,1.22499,0.00040631,0.203918,0.42498,1.93368e-05,-0.352777,0.0386632,-0.0250812
6.75,0.203879,0.824982,0.000275364,0.203788,1.22499,0.000394639,0.203942,0.42498,-4.95473e-05,-0.345322,0.0384745,-0.0250096
6.8,0.203879,0.824982,0.000275364,0.203788,1.22499,0.000394639,0.203942,0.42498,-4.95473e-05,-0.345322,0.0384745,-0.0250096
6.85,0.203889,0.824982,0.000301766,0.203788,1.22499,0.000381585,0.20392,0.424981,-3.05025e-05,-0.337858,0.038289,-0.0249452
6.9,0.203889,0.824982,0.000301766,0.203788,1.22499,0.000381585,0.20392,0.424981,-3.05025e-05,-0.337858,0.038289,-0.0249452
6.95,0.203899,0.824982,0.000328204,0.203802,1.22499,0.000369186,0.203907,0.424981,-1.25751e-05,-0.330381,0.0380957,-0.0249723
7,0.203899,0.824982,0.000328204,0.203802,1.22499,0.000369186,0.203907,0.424981,-1.25751e-05,-0.330381,0.0380957,-0.0249723
7.05,0.20389,0.824982,0.000355865,0.203785,1.22499,0.000377159,0.20391,0.424981,-2.05049e-05,-0.322892,0.0379045,-0.0249214
7.1,0.20389,0.824982,0.000355865,0.203785,1.22499,0.000377159,0.20391,0.424981,-2.05049e-05,-0.322892,0.0379045,-0.0249214
7.15,0.203893,0.824981,0.000385609,0.203778,1.22499,0.000384822,0.20393,0.424982,-5.40354e-05,-0.315392,0.0377105,-0.0249585
7.2,0.203908,0.824981,0.000413605,0.203786,1.22499,0.000392485,0.203922,0.424982,-4.71141e-05,-0.315392,0.0377105,-0.0249585
7.25,0.203908,0.824981,0.000413605,0.203786,1.22499,0.000392485,0.203922,0.424982,-4.71141e-05,-0.30788,0.0375177,-0.0249649
7.3,0.203904,0.824981,0.000439747,0.203789,1.22499,0.000430623,0.203914,0.424983,-7.71144e-05,-0.300407,0.0373261,-0.0249956
7.35,0.203904,0.824981,0.000439747,0.203789,1.22499,0.000430623,0.203914,0.424983,-7.71144e-05,-0.300407,0.0373261,-0.0249956
7.4,0.203901,0.824981,0.00047453,0.203777,1.225,0.000423154,0.203919,0.424983,-0.000101156,-0.292954,0.0371385,-0.0250264
7.45,0.203901,0.824981,0.00047453,0.203777,1.225,0.000423154,0.203919,0.424983,-0.000101156,-0.292954,0.0371385,-0.0250264
7.5,0.203911,0.82498,0.000510984,0.203779,1.225,0.000423753,0.203938,0.424984,-0.000124818,-0.285489,0.0369505,-0.0250714
7.55,0.203911,0.82498,0.000510984,0.203779,1.225,0.000423753,0.203938,0.424984,-0.000124818,-0.285489,0.0369505,-0.0250714
7.6,0.203926,0.82498,0.000540097,0.203792,1.225,0.00041998,0.203928,0.424985,-0.000114304,-0.278012,0.0367623,-0.0250924
