t,xL,yL,thetaL,x1,y1,theta1,x2,y2,theta2,x3,y3,theta3
0.05,0.203807,0.824997,0.0041649,0.203868,1.22497,-0.00182848,0.203638,0.424924,-0.00168321,-0.821085,0.0499854,0.00216973
0.1,0.203807,0.824997,0.00420758,0.20387,1.22497,-0.00177003,0.203644,0.424924,-0.00170323,-0.821082,0.0499852,0.00215929
0.15,0.203807,0.824997,0.00420758,0.20387,1.22497,-0.00177003,0.203644,0.424924,-0.00170323,-0.821082,0.0499852,0.00215929
0.2,0.203817,0.824997,0.00424141,0.203871,1.22497,-0.00171493,0.203629,0.424923,-0.00173065,-0.8208,0.0500232,0.000263243
0.25,0.203817,0.824997,0.00424141,0.203871,1.22497,-0.00171493,0.203629,0.424923,-0.00173065,-0.8208,0.0500232,0.000263243
0.3,0.203804,0.824996,0.00427545,0.20387,1.22497,-0.00165799,0.203625,0.424922,-0.00174885,-0.8196,0.0500754,-0.00118967
0.35,0.203804,0.824996,0.00427545,0.20387,1.22497,-0.00165799,0.203625,0.424922,-0.00174885,-0.8196,0.0500754,-0.00118967
0.4,0.203807,0.824996,0.00431237,0.203877,1.22497,-0.00160204,0.203635,0.424921,-0.00176377,-0.814599,0.0501909,-0.00242437
0.45,0.203807,0.824996,0.00431237,0.203877,1.22497,-0.00160204,0.203635,0.424921,-0.00176377,-0.814599,0.0501909,-0.00242437
0.5,0.203818,0.824995,0.00433944,0.203873,1.22497,-0.00154184,0.203617,0.424921,-0.00179568,-0.806035,0.0504315,0.00168503
0.55,0.203818,0.824995,0.00433944,0.203873,1.22497,-0.00154184,0.203617,0.424921,-0.00179568,-0.806035,0.0504315,0.00168503
0.6,0.203804,0.824995,0.0043702,0.203879,1.22497,-0.00147899,0.203612,0.42492,-0.00180886,-0.800446,0.0501299,0.00510069
0.65,0.203804,0.824995,0.0043702,0.203879,1.22497,-0.00147899,0.203612,0.42492,-0.00180886,-0.800446,0.0501299,0.00510069
0.7,0.203805,0.824995,0.00440556,0.203872,1.22497,-0.00141997,0.203622,0.42492,-0.00182257,-0.794519,0.0501525,0.00392683
0.75,0.203805,0.824995,0.00440556,0.203872,1.22497,-0.00141997,0.203622,0.42492,-0.00182257,-0.794519,0.0501525,0.00392683
0.8,0.203821,0.824994,0.00444308,0.203878,1.22497,-0.00135632,0.20361,0.424918,-0.00184749,-0.788467,0.050173,0.00248452
0.85,0.203821,0.824994,0.00444308,0.203878,1.22497,-0.00135632,0.20361,0.424918,-0.00184749,-0.788467,0.050173,0.00248452
0.9,0.20381,0.824993,0.0044697,0.203877,1.22497,-0.0012925,0.203596,0.424918,-0.00186014,-0.782497,0.0501849,0.00108262
0.95,0.20381,0.824993,0.0044697,0.203877,1.22497,-0.0012925,0.203596,0.424918,-0.00186014,-0.782497,0.0501849,0.00108262
1,0.203808,0.824993,0.00450518,0.20388,1.22497,-0.00122657,0.203596,0.424917,-0.00187129,-0.776537,0.0501872,-0.000279938
1.05,0.203808,0.824993,0.00450518,0.20388,1.22497,-0.00122657,0.203596,0.424917,-0.00187129,-0.776537,0.0501872,-0.000279938
1.1,0.203822,0.824993,0.00454175,0.203879,1.22497,-0.00116317,0.20361,0.424917,-0.00188284,-0.770564,0.0501813,-0.00187977
1.15,0.203822,0.824993,0.00454175,0.203879,1.22497,-0.00116317,0.20361,0.424917,-0.00188284,-0.770564,0.0501813,-0.00187977
1.2,0.20381,0.824993,0.00456737,0.203883,1.22497,-0.00109958,0.203604,0.424915,-0.00190108,-0.764579,0.0501632,-0.00368328
1.25,0.203805,0.824993,0.00458614,0.203881,1.22497,-0.0010339,0.203598,0.424915,-0.0019102,-0.758584,0.0501358,-0.00540597
1.3,0.203805,0.824993,0.00458614,0.203881,1.22497,-0.0010339,0.203598,0.424915,-0.0019102,-0.758584,0.0501358,-0.00540597
1.35,0.203815,0.824993,0.004605,0.203882,1.22497,-0.000971617,0.203606,0.424914,-0.00192302,-0.752578,0.0501008,-0.00710503
1.4,0.203815,0.824993,0.004605,0.203882,1.22497,-0.000971617,0.203606,0.424914,-0.00192302,-0.752578,0.0501008,-0.00710503
1.45,0.203815,0.824992,0.00460137,0.203885,1.22497,-0.000906716,0.203591,0.424913,-0.00194631,-0.74656,0.0500519,-0.00877141
1.5,0.203815,0.824992,0.00460137,0.203885,1.22497,-0.000906716,0.203591,0.424913,-0.00194631,-0.74656,0.0500519,-0.00877141
1.55,0.203807,0.824992,0.0046278,0.203883,1.22497,-0.000846066,0.203586,0.424913,-0.00195839,-0.74056,0.0499963,-0.0103297
1.6,0.203807,0.824992,0.0046278,0.203883,1.22497,-0.000846066,0.203586,0.424913,-0.00195839,-0.74056,0.0499963,-0.0103297
1.65,0.203813,0.824992,0.00464968,0.203888,1.22497,-0.0007804,0.203595,0.424912,-0.00197185,-0.734611,0.049928,-0.011862
1.7,0.203813,0.824992,0.00464968,0.203888,1.22497,-0.0007804,0.203595,0.424912,-0.00197185,-0.734611,0.049928,-0.011862
1.75,0.203821,0.824993,0.00466399,0.203883,1.22497,-0.000716765,0.203584,0.424911,-0.00201112,-0.728653,0.0498517,-0.0133647
1.8,0.203821,0.824993,0.00466399,0.203883,1.22497,-0.000716765,0.203584,0.424911,-0.00201112,-0.728653,0.0498517,-0.0133647
1.85,0.203805,0.824993,0.00467544,0.203889,1.22497,-0.00065047,0.203577,0.424911,-0.00202001,-0.722637,0.0497674,-0.0146499
1.9,0.203805,0.824993,0.00467544,0.203889,1.22497,-0.00065047,0.203577,0.424911,-0.00202001,-0.722637,0.0497674,-0.0146499
1.95,0.203803,0.824993,0.00469054,0.203885,1.22497,-0.000589321,0.203584,0.42491,-0.00203325,-0.716606,0.0496753,-0.0158562
2,0.203803,0.824993,0.00469054,0.203885,1.22497,-0.000589321,0.203584,0.42491,-0.00203325,-0.716606,0.0496753,-0.0158562
2.05,0.203815,0.824993,0.00470667,0.203888,1.22497,-0.000529381,0.20358,0.424909,-0.00206903,-0.710658,0.0495748,-0.0169443
2.1,0.203815,0.824993,0.00470667,0.203888,1.22497,-0.000529381,0.20358,0.424909,-0.00206903,-0.710658,0.0495748,-0.0169443
2.15,0.203815,0.824993,0.00469215,0.203891,1.22497,-0.000465053,0.203571,0.424909,-0.00208187,-0.704696,0.0494685,-0.0179857
2.2,0.203815,0.824993,0.00469215,0.203891,1.22497,-0.000465053,0.203571,0.424909,-0.00208187,-0.704696,0.0494685,-0.0179857
2.25,0.203804,0.824992,0.00469346,0.203888,1.22497,-0.000402455,0.203577,0.424908,-0.00209699,-0.698725,0.0493592,-0.0189226
