time,xr,yr,theta_r,xt,yt,d,e_theta,v,w
0.05,0.279017,0.524991,-0.0012228,0.75,1,0.668923,0.790877,0.234123,0.497679
0.1,0.278988,0.524991,-0.00133241,0.75,1,0.668943,0.790956,0.23413,0.497718
0.15,0.278191,0.524796,0.0100469,0.75,1,0.669643,0.778936,0.234375,0.491766
0.2,0.293382,0.525259,0.0487491,0.75,1,0.658695,0.756106,0.230543,0.480265
0.25,0.293382,0.525259,0.0487491,0.75,1,0.658695,0.756106,0.230543,0.480265
0.3,0.340912,0.528247,0.139288,0.75,1,0.624423,0.717134,0.218548,0.460059
0.35,0.37215,0.534055,0.215269,0.75,1,0.599896,0.674155,0.209964,0.436966
0.4,0.403486,0.541843,0.271057,0.75,1,0.574439,0.652204,0.201054,0.424858
0.45,0.433168,0.550953,0.324595,0.75,1,0.549569,0.63175,0.192349,0.413391
0.5,0.433168,0.550953,0.324595,0.75,1,0.549569,0.63175,0.192349,0.413391
0.55,0.460637,0.561007,0.376062,0.75,1,0.525781,0.611952,0.184023,0.402126
0.6,0.48714,0.572255,0.42695,0.75,1,0.502058,0.592815,0.17572,0.391088
0.65,0.51162,0.584119,0.475746,0.75,1,0.479356,0.574574,0.167775,0.380434
0.7,0.51162,0.584119,0.475746,0.75,1,0.479356,0.574574,0.167775,0.380434
0.75,0.534028,0.596356,0.523384,0.75,1,0.45779,0.556115,0.160227,0.369523
0.8,0.555529,0.609462,0.571128,0.75,1,0.436278,0.537657,0.152697,0.358487
0.85,0.57516,0.622731,0.616813,0.75,1,0.415814,0.520014,0.145535,0.347824
0.9,0.57516,0.622731,0.616813,0.75,1,0.415814,0.520014,0.145535,0.347824
0.95,0.592948,0.635958,0.660871,0.75,1,0.396475,0.502636,0.138766,0.337216
1,0.609877,0.649732,0.70452,0.75,1,0.377256,0.485731,0.13204,0.326799
1.05,0.625235,0.663371,0.745977,0.75,1,0.359006,0.469885,0.125652,0.316948
1.1,0.625235,0.663371,0.745977,0.75,1,0.359006,0.469885,0.125652,0.316948
1.15,0.639024,0.676647,0.78583,0.75,1,0.341867,0.454357,0.119653,0.307219
1.2,0.65185,0.690027,0.825387,0.75,1,0.325141,0.438757,0.113799,0.29737
1.25,0.663313,0.702952,0.862492,0.75,1,0.309438,0.424362,0.108303,0.288217
1.3,0.663313,0.702952,0.862492,0.75,1,0.309438,0.424362,0.108303,0.288217
1.35,0.673798,0.71566,0.898493,0.75,1,0.294374,0.410462,0.103031,0.279323
1.4,0.683494,0.728324,0.933657,0.75,1,0.279698,0.397062,0.0978943,0.270697
1.45,0.683494,0.728324,0.933657,0.75,1,0.279698,0.397062,0.0978943,0.270697
1.5,0.692127,0.740412,0.96769,0.75,1,0.265961,0.383751,0.0930864,0.262081
1.55,0.700231,0.752621,1.00135,0.75,1,0.252336,0.37091,0.0883175,0.253724
1.6,0.707431,0.764288,1.03366,0.75,1,0.239525,0.35846,0.0838337,0.245583
1.65,0.713766,0.775326,1.06456,0.75,1,0.227577,0.346338,0.0796521,0.237619
1.7,0.713766,0.775326,1.06456,0.75,1,0.227577,0.346338,0.0796521,0.237619
1.75,0.719469,0.785985,1.09453,0.75,1,0.216181,0.334569,0.0756634,0.229853
1.8,0.724698,0.796502,1.12385,0.75,1,0.205065,0.32325,0.0717728,0.222355
1.85,0.72927,0.806412,1.15146,0.75,1,0.194694,0.312662,0.068143,0.215315
1.9,0.72927,0.806412,1.15146,0.75,1,0.194694,0.312662,0.068143,0.215315
1.95,0.73335,0.815929,1.17844,0.75,1,0.184822,0.302148,0.0646878,0.2083
2,0.737067,0.825257,1.20466,0.75,1,0.175221,0.292261,0.0613274,0.201682
2.05,0.740359,0.834182,1.22999,0.75,1,0.166098,0.282728,0.0581344,0.195283
2.1,0.7432,0.842532,1.25445,0.75,1,0.157614,0.273192,0.0551651,0.188865
2.15,0.7432,0.842532,1.25445,0.75,1,0.157614,0.273192,0.0551651,0.188865
