time,xr,yr,theta_r,xt,yt,d,e_theta,v,w
0.05,0.278975,0.524991,-0.000421659,0.75,1,0.668953,0.790031,0.167238,0.710375
0.1,0.278537,0.52499,0.00678241,0.75,1,0.669262,0.782363,0.167315,0.704957
0.15,0.286576,0.525372,0.0490056,0.75,1,0.663351,0.748336,0.165838,0.68042
0.2,0.286576,0.525372,0.0490056,0.75,1,0.663351,0.748336,0.165838,0.68042
0.25,0.317121,0.52778,0.171262,0.75,1,0.640606,0.657575,0.160151,0.6112
0.3,0.34152,0.533599,0.26191,0.75,1,0.619989,0.589597,0.154997,0.556026
0.35,0.364194,0.540615,0.335406,0.75,1,0.599901,0.536829,0.149975,0.511413
0.4,0.364194,0.540615,0.335406,0.75,1,0.599901,0.536829,0.149975,0.511413
0.45,0.385328,0.548798,0.400666,0.75,1,0.580145,0.490394,0.145036,0.470974
0.5,0.405527,0.558132,0.46238,0.75,1,0.560276,0.446249,0.140069,0.431585
0.55,0.42446,0.56829,0.51926,0.75,1,0.540694,0.405434,0.135174,0.394418
0.6,0.42446,0.56829,0.51926,0.75,1,0.540694,0.405434,0.135174,0.394418
0.65,0.441954,0.578913,0.569663,0.75,1,0.521734,0.369546,0.130434,0.361192
0.7,0.458553,0.590131,0.617128,0.75,1,0.502926,0.335549,0.125731,0.329288
0.75,0.474042,0.60165,0.660228,0.75,1,0.484599,0.304723,0.12115,0.300029
0.8,0.474042,0.60165,0.660228,0.75,1,0.484599,0.304723,0.12115,0.300029
0.85,0.488306,0.613186,0.698422,0.75,1,0.467022,0.277569,0.116755,0.274019
0.9,0.501836,0.624987,0.734281,0.75,1,0.449689,0.251926,0.112422,0.249269
0.95,0.514462,0.636782,0.767222,0.75,1,0.432904,0.228273,0.108226,0.226295
1,0.522332,0.644519,0.78676,0.75,1,0.422137,0.214403,0.105534,0.212765
1.05,0.522332,0.644519,0.78676,0.75,1,0.422137,0.214403,0.105534,0.212765
1.1,0.533401,0.65592,0.813665,0.75,1,0.406579,0.195301,0.101645,0.194061
1.15,0.540584,0.663667,0.831268,0.75,1,0.396201,0.182624,0.0990503,0.181611
1.2,0.550627,0.674956,0.854776,0.75,1,0.381317,0.165827,0.0953293,0.165068
1.25,0.560113,0.68611,0.876572,0.75,1,0.366857,0.150176,0.0917142,0.149613
1.3,0.560113,0.68611,0.876572,0.75,1,0.366857,0.150176,0.0917142,0.149613
1.35,0.568874,0.696847,0.89581,0.75,1,0.353141,0.136427,0.0882852,0.136004
1.4,0.577368,0.707667,0.91408,0.75,1,0.3395,0.123286,0.084875,0.122973
1.45,0.585257,0.718081,0.930203,0.75,1,0.326524,0.111751,0.0816311,0.111519
1.5,0.592566,0.728037,0.944207,0.75,1,0.314244,0.101842,0.078561,0.101666
1.55,0.592566,0.728037,0.944207,0.75,1,0.314244,0.101842,0.078561,0.101666
1.6,0.599482,0.737727,0.956921,0.75,1,0.302395,0.0928701,0.0755987,0.0927367
1.65,0.606135,0.747295,0.968946,0.75,1,0.290787,0.08431,0.0726968,0.0842102
1.7,0.612421,0.756556,0.98006,0.75,1,0.27963,0.0763477,0.0699074,0.0762736
1.75,0.612421,0.756556,0.98006,0.75,1,0.27963,0.0763477,0.0699074,0.0762736
