time,xr,yr,theta_r,xt,yt,d,e_theta,v,w
0.05,0.278478,0.524907,-0.000888236,0.75,1,0.669363,0.790059,0.15,0.31839
0.1,0.278474,0.524906,-0.000912546,0.75,1,0.669367,0.79008,0.15,0.318395
0.15,0.281943,0.524677,0.0147044,0.75,1,0.66709,0.778395,0.15,0.315761
0.2,0.308583,0.525397,0.0824388,0.75,1,0.648149,0.739172,0.15,0.311816
0.25,0.308583,0.525397,0.0824388,0.75,1,0.648149,0.739172,0.15,0.311816
0.3,0.330912,0.527825,0.125054,0.75,1,0.631335,0.719838,0.15,0.313271
0.35,0.353101,0.531071,0.163673,0.75,1,0.614348,0.704727,0.15,0.316348
0.4,0.353101,0.531071,0.163673,0.75,1,0.614348,0.704727,0.15,0.316348
0.45,0.375198,0.535178,0.202725,0.75,1,0.597106,0.68948,0.15,0.31961
0.5,0.3971,0.540158,0.242035,0.75,1,0.579649,0.674193,0.15,0.323092
0.55,0.418749,0.545985,0.281709,0.75,1,0.562011,0.658768,0.15,0.32676
0.6,0.418749,0.545985,0.281709,0.75,1,0.562011,0.658768,0.15,0.32676
0.65,0.440234,0.552712,0.322055,0.75,1,0.544078,0.643039,0.15,0.330631
0.7,0.461348,0.560259,0.362552,0.75,1,0.526016,0.627374,0.15,0.334793
0.75,0.482209,0.568684,0.403569,0.75,1,0.507687,0.611604,0.15,0.339293
0.8,0.502746,0.577979,0.445373,0.75,1,0.489118,0.59545,0.15,0.344016
0.85,0.502746,0.577979,0.445373,0.75,1,0.489118,0.59545,0.15,0.344016
0.9,0.522829,0.588102,0.487703,0.75,1,0.47039,0.579083,0.15,0.349023
0.95,0.542498,0.599092,0.530467,0.75,1,0.451424,0.562716,0.15,0.354535
1,0.561601,0.610878,0.573897,0.75,1,0.432331,0.546001,0.15,0.36033
1.05,0.561601,0.610878,0.573897,0.75,1,0.432331,0.546001,0.15,0.36033
1.1,0.580199,0.6235,0.618021,0.75,1,0.413019,0.529091,0.15,0.366628
1.15,0.598233,0.636946,0.662809,0.75,1,0.393499,0.512036,0.15,0.373536
1.2,0.598233,0.636946,0.662809,0.75,1,0.393499,0.512036,0.15,0.373536
1.25,0.615676,0.651221,0.70843,0.75,1,0.373751,0.494746,0.15,0.381116
1.3,0.632449,0.666297,0.754503,0.75,1,0.353802,0.477606,0.15,0.389755
1.35,0.648434,0.682085,0.802064,0.75,1,0.333745,0.459503,0.15,0.398661
1.4,0.648434,0.682085,0.802064,0.75,1,0.333745,0.459503,0.15,0.398661
1.45,0.663629,0.698623,0.851152,0.75,1,0.313509,0.440538,0.15,0.408051
1.5,0.677958,0.715842,0.900371,0.75,1,0.293148,0.422128,0.146574,0.409703
1.55,0.691316,0.733627,0.95071,0.75,1,0.272761,0.403242,0.13638,0.392402
1.6,0.691316,0.733627,0.95071,0.75,1,0.272761,0.403242,0.13638,0.392402
1.65,0.702987,0.750914,1.0002,0.75,1,0.253484,0.384045,0.126742,0.374674
1.7,0.713325,0.767946,1.04805,0.75,1,0.234934,0.366001,0.117467,0.357884
1.75,0.721941,0.783759,1.09288,0.75,1,0.218054,0.348878,0.109027,0.341844
