time,xr,yr,theta_r,xt,yt,d,e_theta,v,w
0.05,0.278808,0.524961,0.000393707,0.75,1,0.669092,0.78907,0.15,0.709698
0.1,0.278808,0.524961,0.000393707,0.75,1,0.669092,0.78907,0.15,0.709698
0.15,0.280438,0.524664,0.0299241,0.75,1,0.668157,0.761585,0.15,0.690069
0.2,0.300999,0.527047,0.141154,0.75,1,0.65214,0.670217,0.15,0.621156
0.25,0.321868,0.530441,0.240316,0.75,1,0.635439,0.591198,0.15,0.557356
0.3,0.343451,0.536609,0.311996,0.75,1,0.616452,0.53865,0.15,0.512978
0.35,0.343451,0.536609,0.311996,0.75,1,0.616452,0.53865,0.15,0.512978
0.4,0.364604,0.544265,0.377396,0.75,1,0.596846,0.491432,0.15,0.471889
0.45,0.385169,0.553216,0.439173,0.75,1,0.576817,0.446859,0.15,0.432135
0.5,0.405334,0.563444,0.49592,0.75,1,0.556215,0.406563,0.15,0.395455
0.55,0.405334,0.563444,0.49592,0.75,1,0.556215,0.406563,0.15,0.395455
0.6,0.424798,0.57465,0.5466,0.75,1,0.535424,0.371447,0.15,0.362964
0.65,0.443725,0.58684,0.595677,0.75,1,0.514301,0.33721,0.15,0.330856
0.7,0.461972,0.599846,0.639528,0.75,1,0.493035,0.307381,0.15,0.302563
0.75,0.461972,0.599846,0.639528,0.75,1,0.493035,0.307381,0.15,0.302563
0.8,0.479774,0.613668,0.678186,0.75,1,0.471459,0.282243,0.15,0.278511
0.85,0.497022,0.628115,0.714787,0.75,1,0.449774,0.258655,0.15,0.25578
0.9,0.513771,0.643181,0.748316,0.75,1,0.42793,0.237686,0.15,0.235455
0.95,0.513771,0.643181,0.748316,0.75,1,0.42793,0.237686,0.15,0.235455
1,0.530001,0.658736,0.778324,0.75,1,0.406031,0.219861,0.15,0.218094
1.05,0.545774,0.67476,0.80746,0.75,1,0.384043,0.202638,0.15,0.201254
1.1,0.561049,0.691172,0.83385,0.75,1,0.362046,0.187873,0.15,0.18677
1.15,0.575954,0.708003,0.857523,0.75,1,0.339933,0.175758,0.15,0.174855
1.2,0.575954,0.708003,0.857523,0.75,1,0.339933,0.175758,0.15,0.174855
1.25,0.590398,0.725089,0.87962,0.75,1,0.317882,0.165174,0.15,0.164424
1.3,0.604522,0.742547,0.900816,0.75,1,0.295713,0.155645,0.15,0.155017
1.35,0.618275,0.760271,0.920468,0.75,1,0.273536,0.147889,0.15,0.14735
1.4,0.618275,0.760271,0.920468,0.75,1,0.273536,0.147889,0.15,0.14735
1.45,0.631667,0.778228,0.93908,0.75,1,0.251367,0.141565,0.15,0.141093
1.5,0.644772,0.796483,0.957045,0.75,1,0.229112,0.136561,0.15,0.136137
1.55,0.644772,0.796483,0.957045,0.75,1,0.229112,0.136561,0.15,0.136137
1.6,0.657507,0.814883,0.974053,0.75,1,0.206938,0.133378,0.15,0.132982
1.65,0.669967,0.833565,0.990771,0.75,1,0.184678,0.131804,0.15,0.131423
1.7,0.682104,0.852425,1.00726,0.75,1,0.162445,0.132334,0.15,0.131948
1.75,0.682104,0.852425,1.00726,0.75,1,0.162445,0.132334,0.15,0.131948
1.8,0.693928,0.871487,1.02363,0.75,1,0.140213,0.135754,0.15,0.135337
1.85,0.705374,0.890391,1.04252,0.75,1,0.118345,0.141634,0.15,0.141161
1.9,0.716512,0.909856,1.06023,0.75,1,0.0961635,0.154869,0.125013,0.154251
1.95,0.716512,0.909856,1.06023,0.75,1,0.0961635,0.154869,0.125013,0.154251
2,0.726188,0.927531,1.07839,0.75,1,0.0762806,0.174943,0.0991648,0.174052
2.05,0.734337,0.943072,1.0974,0.75,1,0.0590429,0.204904,0.0767558,0.203473
2.1,0.740092,0.954614,1.12124,0.75,1,0.0464546,0.234618,0.060391,0.232471

Metric,Value
IAE,0.783861
ISE,0.372047
ITAE,0.595355
ITSE,0.216906

Parameter,Value
kv,1.3
vmax,0.15
wmax,1
controller_type,0
