time,xr,yr,theta_r,xt,yt,d,e_theta,v,w
0.05,0.278824,0.524963,0.000420923,0.75,1,0.669079,0.789058,0.15,0.70969
0.1,0.278818,0.52496,0.000386419,0.75,1,0.669085,0.789089,0.15,0.709712
0.15,0.282525,0.524532,0.0438759,0.75,1,0.666786,0.749999,0.15,0.681638
0.2,0.307612,0.527035,0.19165,0.75,1,0.647614,0.627141,0.15,0.586832
0.25,0.307612,0.527035,0.19165,0.75,1,0.647614,0.627141,0.15,0.586832
0.3,0.329436,0.532587,0.274095,0.75,1,0.628768,0.564013,0.15,0.534582
0.35,0.35078,0.539469,0.346204,0.75,1,0.60948,0.510385,0.15,0.488514
0.4,0.371675,0.547814,0.410148,0.75,1,0.589578,0.463952,0.15,0.447485
0.45,0.371675,0.547814,0.410148,0.75,1,0.589578,0.463952,0.15,0.447485
0.5,0.392007,0.557382,0.466732,0.75,1,0.569272,0.423976,0.15,0.411387
0.55,0.411897,0.568125,0.521884,0.75,1,0.54848,0.384702,0.15,0.375283
0.6,0.431037,0.579812,0.571539,0.75,1,0.527537,0.34996,0.15,0.342861
0.65,0.449689,0.592432,0.615461,0.75,1,0.506259,0.320312,0.15,0.314863
0.7,0.449689,0.592432,0.615461,0.75,1,0.506259,0.320312,0.15,0.314863
0.75,0.4677,0.605744,0.65565,0.75,1,0.484904,0.29374,0.15,0.289534
0.8,0.485304,0.61984,0.693552,0.75,1,0.463234,0.269022,0.15,0.265789
0.85,0.502381,0.634545,0.727208,0.75,1,0.441444,0.248079,0.15,0.245543
0.9,0.502381,0.634545,0.727208,0.75,1,0.441444,0.248079,0.15,0.245543
0.95,0.518918,0.649768,0.758466,0.75,1,0.419596,0.229098,0.15,0.227099
1,0.535042,0.66552,0.787952,0.75,1,0.397597,0.211643,0.15,0.210066
1.05,0.550642,0.68164,0.81445,0.75,1,0.375629,0.196883,0.15,0.195614
1.1,0.550642,0.68164,0.81445,0.75,1,0.375629,0.196883,0.15,0.195614
1.15,0.565824,0.698159,0.839415,0.75,1,0.353594,0.183515,0.15,0.182486
1.2,0.580621,0.715059,0.863027,0.75,1,0.331482,0.171451,0.15,0.170612
1.25,0.580621,0.715059,0.863027,0.75,1,0.331482,0.171451,0.15,0.170612
1.3,0.594991,0.732252,0.884469,0.75,1,0.309382,0.16154,0.15,0.160838
1.35,0.609019,0.749768,0.905435,0.75,1,0.287214,0.152286,0.15,0.151698
1.4,0.622713,0.767591,0.924969,0.75,1,0.264983,0.144762,0.15,0.144257
1.45,0.622713,0.767591,0.924969,0.75,1,0.264983,0.144762,0.15,0.144257
1.5,0.63602,0.785605,0.943198,0.75,1,0.24281,0.138961,0.15,0.138514
1.55,0.649041,0.803892,0.960953,0.75,1,0.22057,0.134417,0.15,0.134013
1.6,0.66174,0.822395,0.977668,0.75,1,0.198326,0.13193,0.15,0.131547
1.65,0.66174,0.822395,0.977668,0.75,1,0.198326,0.13193,0.15,0.131547
1.7,0.674122,0.841113,0.993878,0.75,1,0.176075,0.131384,0.15,0.131006
1.75,0.686183,0.859992,1.01024,0.75,1,0.153867,0.132881,0.15,0.13249
1.8,0.697987,0.879134,1.02666,0.75,1,0.131582,0.137754,0.15,0.137319
1.85,0.697987,0.879134,1.02666,0.75,1,0.131582,0.137754,0.15,0.137319
1.9,0.709303,0.897998,1.0396,0.75,1,0.109821,0.151569,0.15,0.150989
1.95,0.720493,0.917429,1.05713,0.75,1,0.0876844,0.170451,0.15,0.169627
2,0.731326,0.937099,1.07725,0.75,1,0.0656139,0.204954,0.15,0.203522
2.05,0.731326,0.937099,1.07725,0.75,1,0.0656139,0.204954,0.15,0.203522
2.1,0.741718,0.956981,1.10097,0.75,1,0.0438094,0.279626,0.15,0.275996

Metric,Value
IAE,0.787183
ISE,0.374083
ITAE,0.599629
ITSE,0.219108

Parameter,Value
kv,5
vmax,0.15
wmax,1
controller_type,0
